System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
TOI-1680,3224,100,100,-0.32,0.13,0.13,0.18,0.0044,0.0044,0.213,0.0064,0.0064,5.063,0.047,0.048,19.4,2.0,2.0,4.803,0.0,-1.0,-1.0,0.03144,0.00025,0.00026,-1.0,-1.0,-1.0,0.1307,0.0056,0.0044,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,404.0,14.0,14.0,2023A+A...677A..31G,2023A+A...677A..31G,0.6136150234741785,31.739938931509485,TOI-1680,True,45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",TOI-1680 b,TOI-1680,TIC 259168516,89.58,0.26,-0.22,0.0638,0.0015,-0.0015,32.04,0.74,-0.93,,2459013.84254,0.00037,-0.00039,1.186,0.017,-0.016,0.23,0.11,-0.14,0.407,0.0,3225.0,5.046,0.2106,Transit,host_single
TOI-1437,6008,113,113,-1.0,-1.0,-1.0,1.1,0.1,0.1,1.17,0.11,0.12,-1.0,-1.0,-1.0,0.91,0.23,0.18,18.841,0.17,0.11,0.09,0.14,0.018,0.017,0.03,0.012,0.01,0.2,0.021,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2024AJ....168..135P,2024AJ....168..135P,0.1709401709401709,25.73032825888989,TOI-1437,True,45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",TOI-1437 b,TOI-1437,TIC 198356533,89.53,0.33,-0.46,0.01746,0.00047,-0.00039,25.7,2.0,-1.8,0.17,2459360.1652,0.0012,-0.0012,4.65,0.45,-0.5,0.24,0.24,-0.17,,0.0,6008.0,4.26,1.17,Transit,host_single
TOI-220,5298,65,65,-0.19,0.05,0.05,0.825,0.028,0.028,0.858,0.032,0.032,4.37,0.11,0.11,1.31,0.15,0.15,10.695,0.032,0.038,0.023,0.0892,0.001,0.001,0.0434,0.0031,0.0031,0.27,0.013,0.013,-1.0,-1.0,-1.0,2.06,0.35,0.35,805.0,21.0,21.0,2021MNRAS.505.3361H,2021MNRAS.505.3361H,0.3146853146853147,22.355311175580955,TOI-220,True,43,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]",TOI-220 b,TOI-220,TIC 150098860,87.88,0.12,-0.12,0.03235,0.00076,-0.00076,22.33,0.8,-0.8,0.032,2458335.902,0.0014,-0.0014,2.239,0.055,-0.055,0.836,0.022,-0.022,,0.0,5298.0,4.37,0.858,Transit,host_single
TOI-1670b,6170,61,61,0.09,0.07,0.07,1.21,0.02,0.02,1.316,0.019,0.019,4.29,0.11,0.11,0.54,0.026,0.026,10.985,0.59,0.17,0.26,0.103,0.002,0.002,0.0,0.041,0.0,0.184,0.017,0.013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1062.0,14.0,13.0,2022AJ....163..225T,2022AJ....163..225T,0.1398176291793313,16.830014429433454,TOI-1670b,True,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",TOI-1670 b,TOI-1670,TIC 441739020,86.87,1.16,-1.07,0.014,0.001,-0.001,16.88,0.27,-0.27,0.59,2458721.9423,0.0071,-0.0062,2.8,0.16,-0.19,0.61,0.22,-0.37,,0.0,6170.0,4.29,1.316,Transit,planet_name
TOI-1670c,6170,61,61,0.09,0.07,0.07,1.21,0.02,0.02,1.316,0.019,0.019,4.29,0.11,0.11,0.54,0.026,0.026,40.75,0.09,0.05,0.04,0.249,0.005,0.005,0.63,0.09,0.08,0.987,0.025,0.025,-1.0,-1.0,-1.0,0.61,0.19,0.08,684.0,9.0,9.0,2022AJ....163..225T,2022AJ....163..225T,0.75,40.68615138765952,TOI-1670c,True,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",TOI-1670 c,TOI-1670,TIC 441739020,88.84,0.04,-0.04,0.077,0.002,-0.002,40.68,0.66,-0.66,0.09,2458750.88286,0.00085,-0.00083,5.4,0.06,-0.05,0.76,0.02,-0.04,,0.0,6170.0,4.29,1.316,Transit,planet_name
TOI-2094,3403,70,70,-0.06,0.02,0.02,0.425,0.059,0.059,0.384,0.018,0.018,4.89,0.04,0.04,-1.0,-1.0,-1.0,18.793,-1.0,-1.0,-1.0,0.136,0.011,0.011,-1.0,-1.0,-1.0,0.17,0.009,0.009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,276.0,11.0,11.0,arXiv:2512.06817,arXiv:2512.06817,0.4427083333333333,76.15717694483926,TOI-2094,True,42,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]",TOI-2094 b,TOI-2094,TIC 356016119,89.387,0.064,-0.064,0.0455,0.0013,-0.0014,76.5,5.6,-4.4,,2460232.36095,0.00032,-0.00032,1.221,0.023,-0.023,0.818,0.023,-0.033,0.2073,0.0,3435.0,4.89,0.384,Transit,host_single
TOI-1438c,5230,60,6,0.03,0.06,0.06,0.876,0.038,0.038,0.82,0.017,0.017,4.5,0.07,0.07,1.56,0.14,0.14,9.428,0.0,-1.0,-1.0,0.083,0.003,0.003,0.0333,0.0066,0.0066,0.245,0.012,0.012,14.3,3.0,3.0,2.19,0.53,0.53,794.0,9.0,9.0,2025A+A...702A..69P,2025A+A...702A..69P,0.298780487804878,21.76543708380485,TOI-1438c,True,41,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",TOI-1438 c,TOI-1438,TIC 229650439,87.61,0.1,-0.08,0.0308,0.0008,-0.0008,21.6,0.7,-0.6,0.0,2458689.9136,0.0014,-0.0014,1.67,0.04,-0.04,0.902,0.009,-0.008,,0.0,5230.0,4.5,0.82,Transit,planet_name
TOI-1438b,5230,60,6,0.03,0.06,0.06,0.876,0.038,0.038,0.82,0.017,0.017,4.5,0.07,0.07,1.56,0.14,0.14,5.14,0.0,-1.0,-1.0,0.0553,0.0015,0.0015,0.0296,0.0057,0.0057,0.271,0.017,0.017,10.0,2.3,2.3,1.36,0.38,0.38,971.0,11.0,11.0,2025A+A...702A..69P,2025A+A...702A..69P,0.3304878048780488,14.50155024981215,TOI-1438b,True,41,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",TOI-1438 b,TOI-1438,TIC 229650439,86.21,0.12,-0.11,0.0341,0.0013,-0.0013,14.5,0.4,-0.4,0.0,2458683.6256,0.0007,-0.0007,1.04,0.05,-0.03,0.956,0.004,-0.004,,0.0,5230.0,4.5,0.82,Transit,planet_name
TOI-1743,3277,78,77,0.22,0.14,0.15,0.339,0.027,0.021,0.338,0.014,0.014,4.909,0.032,0.033,8.72,0.92,0.85,4.266,-1.0,-1.0,-1.0,0.03589,0.00092,0.0011,-1.0,-1.0,-1.0,0.163,0.01,0.009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,485.0,14.0,14.0,2025A+A...702A.209Y,2025A+A...702A.209Y,0.4822485207100591,22.83283882116489,TOI-1743,True,41,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",TOI-1743 b,TOI-1743,TIC 219860288,87.92,0.11,-0.11,0.0496,0.0016,-0.0015,22.81,0.78,-0.74,,2459575.1723,0.00027,-0.00027,0.9235,0.019,-0.018,0.827,0.016,-0.017,,0.0,3277.0,4.909,0.338,Transit,host_single
TOI-150,6029,110,110,0.25,0.09,0.09,1.249,0.069,0.115,1.551,0.024,0.025,4.152,0.03,0.043,0.333,0.028,0.033,5.857,0.145,0.025,0.021,0.0583,0.0013,0.0018,1.75,0.14,0.17,1.38,0.04,0.04,19.8,2.1,1.9,0.62,0.06,0.06,1493.0,29.0,32.0,2019ApJ...877L..29C,2019ApJ...877L..29C,0.8897485493230174,8.082764211417233,TOI-150,True,39,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]",TOI-150.01,TOI-150,TIC 271893367,88.09,0.98,-0.68,0.0826,0.0012,-0.0011,9.917,0.092,-0.099,0.262,2458326.2773,0.00086,-0.00089,5.12,0.21,-0.18,0.33,0.12,-0.17,,0.0,6255.0,4.13,1.526,Transit,host_single
