System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs,host_star,has_pdcsap,n_sectors,sector_list,pl_name,hostname,tic_id,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_imppar,pl_impparerr1,pl_impparerr2,pl_trandep,ttv_flag,st_teff,st_logg,st_rad,discoverymethod,nea_match_type
TOI-1452,3185,50,50,-0.07,0.02,0.02,0.249,0.008,0.008,0.275,0.009,0.009,4.95,0.03,0.03,11.9,1.3,1.3,11.062,0.0,-1.0,-1.0,0.061,0.003,0.003,0.0152,0.0041,0.0041,0.1492,0.0063,0.0063,-1.0,-1.0,-1,4.2,1.4,1.2,326.0,7.0,7.0,2022AJ....164...96C,2022AJ....164...96C,0.5425454545454546,47.69801371005119,TOI-1452,True,83,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",TOI-1452 b,TOI-1452,TIC 420112589,89.77,0.16,-0.16,,,,,,,0.0,2458691.5321,0.0015,-0.0015,,,,0.19,0.13,-0.13,0.309,0.0,3185.0,4.95,0.275,Transit,host_single
GJ_0238,3485,140,140,0.15,0.1,0.1,0.4193,0.0095,0.0098,0.4314,0.0075,0.0071,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.745,-1.0,-1.0,-1.0,0.02123,0.00016,0.00017,-1.0,-1.0,-1.0,0.0505,0.0012,0.0012,-1.0,-1.0,-1,-1.0,-1.0,-1,758.0,16.0,15.0,2024AJ....167..283T,2024AJ....167..283T,0.1170607324988409,10.582127900115765,GJ 0238,True,50,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",GJ 238 b,GJ 238,TIC 260708537,89.99,0.8,-0.79,0.01204,0.00023,-0.00023,,,,,2458326.98222,0.00064,-0.0007,1.239,0.018,-0.018,0.202,0.075,-0.072,,0.0,3485.0,,0.4314,Transit,host_single
HD_028109b,6189,55,55,0.1,0.03,0.03,1.227,0.052,0.052,1.425,0.048,0.041,4.25,0.07,0.07,-1.0,-1.0,-1.0,22.891,0.0,0.33,0.0,0.1357,0.0034,0.0034,0.0195,0.005,0.005,0.24,0.021,0.021,-1.0,-1.0,-1,1.3,0.5,0.5,867.0,16.0,16.0,2022MNRAS.515.1328D,2025A+A...704A..41B,0.1684210526315789,20.47708514955232,HD 028109b,True,50,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",HD 28109 b,HD 28109,TIC 29781292,87.94,0.09,-0.1,,,,25.71,0.81,-0.89,0.0071,2458344.815,0.0039,-0.0036,2.69,0.34,-0.29,0.927,0.026,-0.019,0.0301,0.0,6189.0,4.25,1.425,Transit,planet_name
HD_028109d,6189,55,55,0.1,0.03,0.03,1.227,0.052,0.052,1.425,0.048,0.041,4.25,0.07,0.07,-1.0,-1.0,-1.0,84.29,0.0,0.086,0.0,0.411,0.016,0.016,0.0182,0.0028,0.0034,0.277,0.013,0.013,-1.0,-1.0,-1,0.83,0.22,0.15,561.0,11.0,11.0,2022MNRAS.515.1328D,2025A+A...704A..41B,0.1943859649122807,62.01976415966104,HD 028109d,True,50,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",HD 28109 d,HD 28109,TIC 29781292,89.77,0.15,-0.13,,,,61.3,1.9,-2.1,0.0054,2458355.5685,0.0075,-0.0086,10.32,0.26,-0.23,0.25,0.13,-0.15,0.0407,1.0,6189.0,4.25,1.425,Transit,planet_name
HD_028109c,6189,55,55,0.1,0.03,0.03,1.227,0.052,0.052,1.425,0.048,0.041,4.25,0.07,0.07,-1.0,-1.0,-1.0,55.997,0.0,0.12,0.0,0.308,0.011,0.011,0.0289,0.0063,0.0063,0.368,0.014,0.012,-1.0,-1.0,-1,0.52,0.15,0.15,643.0,12.0,12.0,2022MNRAS.515.1328D,2025A+A...704A..41B,0.2582456140350877,46.47709820237373,HD 028109c,True,50,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",HD 28109 c,HD 28109,TIC 29781292,89.61,0.15,-0.12,,,,46.7,1.6,-1.6,0.0039,2458337.2807,0.0055,-0.0048,8.957,0.065,-0.065,0.31,0.09,-0.12,0.0715,1.0,6189.0,4.25,1.425,Transit,planet_name
TOI-216c,5026,125,125,0.32,0.1,0.1,0.763,0.021,0.021,0.757,0.007,0.007,4.66,0.2,0.20,1.76,0.06,0.06,34.556,0.009,0.004,0.003,0.2068,0.0109,0.0081,0.525,0.019,0.019,0.9,0.013,0.012,-1.0,-1.0,-1,0.671,0.037,0.037,497.0,10.0,8.0,2019MNRAS.486.4980K,2023AJ....165..236M,1.1889035667107002,58.74322800724629,TOI-216c,True,49,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
WASP-100,6940,120,120,0.0,0.08,0.08,1.47,0.06,0.05,1.67,0.18,0.11,4.16,0.06,0.08,0.269,0.01,0.009,2.849,0.0,0.1,0.0,0.043,0.005,0.003,2.03,0.12,0.12,1.4,0.2,0.3,16.2,6.7,4.7,0.4,0.2,0.2,2077.0,58.0,55.0,2014MNRAS.440.1982H,2020MNRAS.494.4077J,0.8383233532934131,5.536752843048546,WASP-100,True,49,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",WASP-100 b,WASP-100,TIC 38846515,82.6,2.15,-2.15,,,,4.93,0.75,-0.75,0.0,,,,,,,,,,0.76,0.0,6900.0,4.35,1.57,Transit,host_single
TOI-286c,5152,103,103,-0.05,0.02,0.02,0.832,0.049,0.049,0.78,0.036,0.036,4.59,0.02,0.02,-1.0,-1.0,-1.0,39.362,0.0,-1.0,-1.0,0.213,0.004,0.004,0.0117,0.007,0.007,0.168,0.011,0.01,-1.0,-1.0,-1,2.3,1.5,1.5,475.0,15.0,15.0,2024A+A...688A.216H,2024A+A...688A.216H,0.2153846153846154,58.72028484796655,TOI-286c,True,49,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",TOI-286 c,TOI-286,TIC 150030205,89.69,0.28,-0.28,,,,,,,0.0,2460155.0251,0.0018,-0.002,4.97,0.55,-0.55,0.32,0.29,-0.17,,0.0,5152.0,4.59,0.78,Transit,planet_name
TOI-216b,5026,125,125,0.32,0.1,0.1,0.763,0.021,0.021,0.757,0.007,0.007,4.66,0.2,0.20,1.76,0.06,0.06,17.085,0.1593,0.0021,0.0019,0.1293,0.0069,0.0051,0.0554,0.002,0.002,0.699,0.019,0.019,-1.0,-1.0,-1,0.152,0.013,0.013,630.0,13.0,11.0,2019MNRAS.486.4980K,2023AJ....165..236M,0.9233817701453104,36.72872041265448,TOI-216b,True,49,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,none
TOI-286b,5152,103,103,-0.05,0.02,0.02,0.832,0.049,0.049,0.78,0.036,0.036,4.59,0.02,0.02,-1.0,-1.0,-1.0,4.512,0.0,-1.0,-1.0,0.0503,0.001,0.0010,0.0143,0.0025,0.0025,0.127,0.009,0.009,-1.0,-1.0,-1,6.5,1.7,1.7,979.0,31.0,31.0,2024A+A...688A.216H,2024A+A...688A.216H,0.1628205128205128,13.866809050951726,TOI-286b,True,49,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",TOI-286 b,TOI-286,TIC 150030205,87.52,0.59,-0.59,,,,,,,0.0,2460186.64911,0.00076,-0.00076,2.04,0.27,-0.27,0.6,0.14,-0.06,,0.0,5152.0,4.59,0.78,Transit,planet_name
