System,host_star,sector_list,n_sectors
TOI-157,TOI-157,"[9, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96, 98]",35
TOI-1259,TOI-1259,"[14, 17, 18, 19, 20, 21, 24, 25, 26, 40, 41, 47, 48, 50, 51, 52, 53, 54, 55, 58, 59, 60, 73, 74, 75, 77, 78, 79, 80, 81, 85, 86]",32
WD_1856+534,WD 1856+534,"[14, 15, 19, 22, 26, 40, 41, 49, 53, 54, 55, 56, 59, 73, 74, 75, 76, 79, 80, 81, 82, 83, 86]",23
KELT-23,KELT-23,"[14, 15, 16, 17, 21, 23, 41, 47, 48, 49, 50, 54, 57, 74, 75, 76, 77, 81, 84]",19
TOI-2010,TOI-2010,"[14, 15, 16, 40, 54, 55, 56, 74, 75, 76, 81, 82, 83]",13
XO-7,XO-7,"[25, 26, 40, 47, 52, 53, 59, 60, 73, 74, 79, 86]",12
TOI-2025,TOI-2025,"[40, 47, 52, 53, 58, 59, 60, 74, 78, 79, 81, 85, 86]",13
HAT-P-37,HAT-P-37,"[26, 40, 41, 53, 54, 55, 59, 74, 75, 80, 82]",11
Kepler-015,Kepler-015,"[40, 41, 54, 55, 56, 74, 75, 76, 81, 82, 83]",11
KELT-24,KELT-24,"[14, 20, 21, 40, 41, 47, 48, 60, 74, 75]",10
HIP_00065,HIP 00065,"[1, 2, 28, 29, 68, 69, 95, 96, 102]",9
TOI-1420,TOI-1420,"[16, 24, 56, 57, 58, 77, 78, 83, 84, 85]",10
TOI-1431,TOI-1431,"[15, 16, 55, 56, 57, 76, 77, 83, 84]",9
TOI-1268,TOI-1268,"[15, 21, 22, 41, 48, 49, 75, 76]",8
KELT-20,KELT-20,"[14, 40, 41, 54, 74, 75, 81]",7
HD_017156,HD 017156,"[18, 19, 25, 52, 59, 73, 79, 86]",8
TOI-4153,TOI-4153,"[53, 58, 59, 60, 73, 78, 79, 85]",8
KELT-09,KELT-09,"[14, 15, 41, 55, 75, 82]",6
Kepler-1514b,Kepler-1514b,"[40, 41, 54, 55, 74, 75, 81, 82]",8
WASP-019,WASP-019,"[9, 36, 62, 63, 89, 90, 99]",7
Kepler-423,Kepler-423,"[40, 41, 54, 55, 74, 75, 81]",7
Kepler-077,Kepler-077,"[40, 41, 54, 55, 74, 75, 81]",7
TOI-2154,TOI-2154,"[40, 52, 53, 59, 60, 79, 86]",7
TOI-2152,TOI-2152,"[58, 59, 73, 78, 79, 85, 86]",7
TOI-169,TOI-169,"[13, 27, 28, 67, 68, 95]",6
HATS-06,HATS-06,"[6, 32, 33, 87, 98]",5
K2-115,K2-115,"[7, 34, 45, 46, 71, 72]",6
Kepler-1654,Kepler-1654,"[40, 41, 53, 54, 74, 75]",6
HAT-P-12,HAT-P-12,"[23, 49, 50, 76, 77]",5
TOI-1518,TOI-1518,"[57, 58, 77, 84, 85]",5
KELT-18,KELT-18,"[23, 48, 50, 75, 77]",5
KELT-17,KELT-17,"[44, 45, 46, 71, 72]",5
K2-030,K2-030,"[42, 43, 44, 70, 71]",5
TOI-181,TOI-181,"[2, 29, 69, 96]",4
K2-114,K2-114,"[7, 44, 45, 46, 72]",5
HAT-P-39,HAT-P-39,"[44, 45, 46, 71, 72]",5
TOI-4994,TOI-4994,"[66, 67, 93, 94, 100, 101]",6
WASP-064,WASP-064,"[6, 7, 33, 34, 87]",5
WASP-045,WASP-045,"[2, 29, 69, 96]",4
HAT-P-20,HAT-P-20,"[44, 45, 46, 71, 72]",5
KELT-21,KELT-21,"[41, 55, 75, 81, 82]",5
WASP-170,WASP-170,"[35, 61, 62, 89, 99]",5
