planet,kind,sector,transit_num,t_mid,snr,method,n_points,n_filled,csv,png
CoRoT-01,HJ,33,1,2202.4202632736565,2.203125351961938,SCAN+BLEND(SNR=2.2),248,13,..\data\selected_transits\CoRoT-01\CoRoT-01_T01_sector33_tmid2202.4203.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T01_sector33_tmid2202.4203.png
CoRoT-01,HJ,33,2,2203.937154835604,2.0722138389752893,SCAN+BLEND(SNR=2.1),248,11,..\data\selected_transits\CoRoT-01\CoRoT-01_T02_sector33_tmid2203.9372.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T02_sector33_tmid2203.9372.png
CoRoT-01,HJ,33,3,2205.4439954911004,2.112628934289754,SCAN+BLEND(SNR=2.1),248,22,..\data\selected_transits\CoRoT-01\CoRoT-01_T03_sector33_tmid2205.4440.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T03_sector33_tmid2205.4440.png
CoRoT-01,HJ,33,4,2206.950107329168,2.12690620078767,SCAN+BLEND(SNR=2.1),248,15,..\data\selected_transits\CoRoT-01\CoRoT-01_T04_sector33_tmid2206.9501.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T04_sector33_tmid2206.9501.png
CoRoT-01,HJ,33,5,2209.968027324991,1.6749755996486684,SCAN+PAR+nudge(SNR=1.7),248,9,..\data\selected_transits\CoRoT-01\CoRoT-01_T05_sector33_tmid2209.9680.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T05_sector33_tmid2209.9680.png
CoRoT-01,HJ,33,6,2211.4833924063596,1.7846371747378869,SCAN+PAR+nudge(SNR=1.8),248,8,..\data\selected_transits\CoRoT-01\CoRoT-01_T06_sector33_tmid2211.4834.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T06_sector33_tmid2211.4834.png
CoRoT-01,HJ,33,7,2212.9917493596895,1.8036922507758426,SCAN+PAR+nudge(SNR=1.8),248,17,..\data\selected_transits\CoRoT-01\CoRoT-01_T07_sector33_tmid2212.9917.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T07_sector33_tmid2212.9917.png
CoRoT-01,HJ,33,8,2216.004772963326,1.659438268843322,SCAN+PAR+nudge(SNR=1.7),248,17,..\data\selected_transits\CoRoT-01\CoRoT-01_T08_sector33_tmid2216.0048.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T08_sector33_tmid2216.0048.png
CoRoT-01,HJ,33,9,2217.5127921891053,1.9539696555101382,SCAN+PAR+nudge(SNR=2.0),248,14,..\data\selected_transits\CoRoT-01\CoRoT-01_T09_sector33_tmid2217.5128.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T09_sector33_tmid2217.5128.png
CoRoT-01,HJ,33,10,2219.0287741341626,2.2798542268540642,SCAN+BLEND(SNR=2.3),248,10,..\data\selected_transits\CoRoT-01\CoRoT-01_T10_sector33_tmid2219.0288.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T10_sector33_tmid2219.0288.png
CoRoT-01,HJ,33,11,2220.5323870099214,1.6491155550476615,SCAN+PAR+nudge(SNR=1.6),247,23,..\data\selected_transits\CoRoT-01\CoRoT-01_T11_sector33_tmid2220.5324.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T11_sector33_tmid2220.5324.png
CoRoT-01,HJ,33,12,2222.0466294237012,1.8947768054296774,SCAN+PAR+nudge(SNR=1.9),248,15,..\data\selected_transits\CoRoT-01\CoRoT-01_T12_sector33_tmid2222.0466.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T12_sector33_tmid2222.0466.png
CoRoT-01,HJ,33,13,2223.55159367375,2.1441824189243057,SCAN+BLEND(SNR=2.1),248,9,..\data\selected_transits\CoRoT-01\CoRoT-01_T13_sector33_tmid2223.5516.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T13_sector33_tmid2223.5516.png
CoRoT-01,HJ,33,14,2225.0607556209366,1.8266724037877111,SCAN+PAR+nudge(SNR=1.8),248,12,..\data\selected_transits\CoRoT-01\CoRoT-01_T14_sector33_tmid2225.0608.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T14_sector33_tmid2225.0608.png
CoRoT-01,HJ,33,15,2226.572234437097,1.7398930202235796,SCAN+PAR+nudge(SNR=1.7),248,25,..\data\selected_transits\CoRoT-01\CoRoT-01_T15_sector33_tmid2226.5722.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T15_sector33_tmid2226.5722.png
CoRoT-01,HJ,33,16,2202.4202638554407,2.1706647984663117,SCAN+BLEND(SNR=2.2),248,13,..\data\selected_transits\CoRoT-01\CoRoT-01_T16_sector33_tmid2202.4203.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T16_sector33_tmid2202.4203.png
CoRoT-01,HJ,33,17,2203.9373062601917,2.0671207220548955,SCAN+BLEND(SNR=2.1),248,11,..\data\selected_transits\CoRoT-01\CoRoT-01_T17_sector33_tmid2203.9373.csv,..\data\selected_transits\CoRoT-01\CoRoT-01_T17_sector33_tmid2203.9373.png
