System,Teff,err,err.1,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup.1,errdn.1,loggA,errup.2,errdn.2,rho_A,errup.3,errdn.3,Period,e,errup.4,errdown,a(AU),errup.5,errdown.1,M_b,errup.6,errdn.4,R_b,errup.7,errdn.5,g_b,errup.8,errdn.6,rho_b,errup.9,errdn.7,Teq,err.2,err.3,Discovery_reference,Recent_reference,Rp_Rs,a_Rs
55_Cnc_e,5172,18,18,0.35,0.1,0.1,0.873,0.051,0.035,0.954,0.017,0.018,4.43,0.02,0.02,1.0,0.11,0.07,0.737,0.05,0.03,0.03,0.01544,5e-05,0.00005,0.0243,0.0012,0.0009,0.1692,0.0039,0.0041,21.4,2.1,1.9,4.71,0.56,0.53,2349.0,188.0,193.0,2011ApJ...737L..18W,2019ApJ...883...79D,0.17735849056603772,3.480182943480039
pi_Men_c,5998,62,62,0.09,0.04,0.04,1.091,0.031,0.031,1.19,0.004,0.004,4.365,0.007,0.007,0.7442,0.0009,0.0009,6.268,0.066,0.086,0.047,0.06876,0.00065,0.00065,0.0114,0.0012,0.0012,0.1914,0.0013,0.0013,11.0,1.9,9.5,2.1,0.4,0.4,1170.0,2.8,4.3,2018ApJ...868L..39H,2022AJ....163..223H,0.16084033613445378,12.424875895348647
AU_Mic_b,3540,120,110,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.10,1.106,0.099,0.085,8.463,0.07,0.09,0.04,0.0694,0.0027,0.0023,0.0283,0.0082,0.0084,0.412,0.013,0.013,-1.0,-1.0,-1,0.37,0.12,0.12,556.0,8.0,9.0,2020Natur.582..497P,2025A+A...694A.137B,0.4779582366589327,17.31232345016027
AU_Mic_c,3540,120,110,0.01,0.06,0.06,0.635,0.04,0.07,0.862,0.052,0.052,4.37,0.08,0.10,1.106,0.099,0.085,18.859,0.18,0.08,0.07,0.1169,0.0047,0.0047,0.0455,0.0102,0.0108,0.246,0.023,0.026,-1.0,-1.0,-1,2.94,0.86,0.88,428.0,8.0,8.0,2021A+A...649A.177M,2025A+A...694A.137B,0.2853828306264501,29.16153618622097
CoRoT-01,5950,150,150,-0.3,0.25,0.25,0.95,0.11,0.11,1.131,0.045,0.045,4.311,0.019,0.019,0.66,0.019,0.019,1.509,0.0,-1.0,-1.0,0.02536,0.00138,0.00022,1.03,0.1,0.1,1.551,0.064,0.064,10.65,0.69,0.69,0.259,0.021,0.021,1915.0,49.0,49.0,2008A+A...482L..17B,2011MNRAS.417.2166S,1.3713527851458884,4.821584664867839
CoRoT-02,5598,50,50,0.04,0.05,0.05,0.997,0.049,0.049,0.901,0.019,0.019,4.527,0.017,0.017,1.362,0.064,0.064,1.743,0.0143,0.0077,0.0077,0.02835,0.00047,0.00047,3.57,0.15,0.15,1.46,0.031,0.031,41.5,1.7,1.7,1.073,0.058,0.058,1521.0,18.0,18.0,2008A+A...482L..21A,2012MNRAS.426.1291S,1.620421753607103,6.765991146212526
CoRoT-03,6558,44,44,0.14,0.04,0.04,1.44,0.09,0.09,1.66,0.08,0.08,4.191,0.046,0.046,0.359,0.058,0.058,4.257,0.0,-1.0,-1.0,0.05783,0.0011,0.00049,22.3,1.0,1.0,1.08,0.05,0.05,506.0,67.0,67,18.4,3.7,3.70,1695.0,57.0,57.0,2008A+A...491..889D,2023MNRAS.519.5177C,0.6506024096385543,7.491145926667705
CoRoT-04,6190,60,60,0.05,0.07,0.07,1.194,0.049,0.05,1.148,0.092,0.032,4.396,0.024,0.068,0.79,0.064,0.161,9.202,0.0,-1.0,-1.0,0.0912,0.00125,0.00130,0.731,0.071,0.072,1.16,0.115,0.04,13.5,1.6,2.6,0.438,0.062,0.116,1058.0,42.0,17.0,2008A+A...488L..43A,2011MNRAS.417.2166S,1.0104529616724738,17.082683838580056
CoRoT-05,6100,65,65,-0.25,0.06,0.06,0.99,0.07,0.07,1.115,0.035,0.033,4.339,0.021,0.020,0.714,0.045,0.043,4.038,0.09,0.09,0.04,0.0495,0.0012,0.0012,0.459,0.053,0.032,1.256,0.046,0.045,7.24,0.88,0.48,0.217,0.035,0.028,1397.0,15.0,15.0,2009A+A...506..281R,2019MNRAS.483..824R,1.126457399103139,9.546264965493965
CoRoT-06,6090,70,70,-0.2,0.1,0.1,1.054,0.063,0.063,1.043,0.03,0.03,4.425,0.022,0.022,0.929,0.064,0.064,8.887,0.0,-1.0,-1.0,0.0855,0.0017,0.0017,2.96,0.34,0.34,1.185,0.041,0.041,52.3,6.4,6.4,1.66,0.23,0.23,1025.0,16.0,16.0,2010A+A...512A..14F,2011MNRAS.417.2166S,1.1361457334611698,17.62726604148781
CoRoT-07,5313,73,73,0.03,0.07,0.07,0.884,0.029,0.032,0.8389,0.0093,0.0088,4.573,0.011,0.011,1.49,0.12,0.13,0.854,0.0,0.32,0.0,0.01702,0.00017,0.00004,0.0191,0.002,0.002,0.141,0.009,0.009,21.5,3.5,3.0,4.9,2.1,2.3,1756.0,27.0,27.0,2009A+A...506..287L,2022MNRAS.515.3975J,0.1680772440100131,4.362671514999045
CoRoT-08,5080,80,80,0.31,0.05,0.05,0.89,0.04,0.04,0.802,0.014,0.014,4.58,0.01,0.01,1.73,0.26,0.26,6.212,0.0,-1.0,-1.0,0.0636,0.0014,0.0014,0.218,0.034,0.034,0.619,0.016,0.017,14.1,2.5,2.1,0.86,0.15,0.15,870.0,14.0,14.0,2010A+A...520A..66B,2019MNRAS.483..824R,0.7718204488778054,17.05241526897501
CoRoT-09,5613,36,36,-0.02,0.03,0.03,0.96,0.04,0.04,0.96,0.06,0.06,4.476,0.063,0.063,1.07,0.21,0.21,95.273,0.133,0.042,0.037,0.4021,0.0054,0.0054,0.84,0.05,0.05,1.066,0.075,0.063,18.2,2.7,2.3,0.65,0.14,0.12,420.0,16.0,16.0,2010Natur.464..384D,2017A+A...603A..43B,1.1104166666666668,90.06706132211725
CoRoT-10,5075,75,75,0.26,0.07,0.07,0.904,0.034,0.034,0.743,0.055,0.055,4.652,0.062,0.062,2.2,0.47,0.47,13.241,0.53,0.04,0.04,0.106,0.0014,0.0014,2.78,0.14,0.14,0.941,0.085,0.085,78.0,14.0,14,3.13,0.88,0.88,647.0,24.0,24.0,2010A+A...520A..65B,2011MNRAS.417.2166S,1.2664872139973082,30.677516926240372
CoRoT-11,6343,72,72,0.04,0.03,0.03,1.26,0.14,0.14,1.374,0.061,0.061,4.264,0.019,0.019,0.488,0.022,0.022,2.994,0.0,-1.0,-1.0,0.044,0.0016,0.0016,2.34,0.39,0.39,1.426,0.057,0.057,28.5,4.2,4.2,0.76,0.12,0.12,1735.0,34.0,34.0,2010A+A...524A..55G,2011MNRAS.417.2166S,1.0378457059679767,6.886032952628671
CoRoT-12,5675,80,80,0.16,0.1,0.1,1.0,0.1,0.1,1.049,0.049,0.047,4.396,0.032,0.030,0.866,0.084,0.078,2.828,0.0,-1.0,-1.0,0.0392,0.0013,0.0013,0.873,0.081,0.078,1.344,0.074,0.071,12.0,1.4,1.2,0.337,0.064,0.062,1417.0,20.0,20.0,2010A+A...520A..97G,2019MNRAS.483..824R,1.2812202097235463,8.035515288476956
CoRoT-13,5945,90,90,0.01,0.07,0.07,1.086,0.084,0.084,1.274,0.078,0.078,4.264,0.04,0.040,0.526,0.072,0.072,4.035,0.0,-1.0,-1.0,0.051,0.0013,0.0013,1.312,0.096,0.096,1.252,0.076,0.076,20.7,2.5,2.5,0.62,0.11,0.11,1432.0,39.0,39.0,2010A+A...522A.110C,2011MNRAS.417.2166S,0.9827315541601256,8.608032558914328
CoRoT-14,6035,100,100,0.05,0.15,0.15,1.125,0.099,0.099,1.19,0.14,0.14,4.338,0.082,0.082,0.67,0.19,0.19,1.512,0.0,-1.0,-1.0,0.02687,0.00078,0.00078,7.67,0.49,0.49,1.018,0.079,0.079,183.0,27.0,27,6.8,1.5,1.5,1936.0,95.0,95.0,2011A+A...528A..97T,2011MNRAS.417.2166S,0.8554621848739496,4.855387075451107
CoRoT-15,6340,190,190,0.09,0.19,0.19,1.29,0.12,0.12,1.4,0.14,0.14,4.288,0.059,0.191,0.52,0.12,0.25,3.06,0.042,0.039,0.039,0.0458,0.0018,0.0022,64.0,5.0,5.0,1.045,0.347,0.091,1470.0,240.0,620,53.0,13.0,29,1670.0,200.0,80.0,2011A+A...525A..68B,2023MNRAS.519.5177C,0.7464285714285714,7.034619235106498
CoRoT-16,5650,100,100,0.19,0.06,0.06,1.098,0.082,0.078,1.19,0.14,0.13,4.36,0.1,0.1,0.66,0.23,0.17,5.352,0.33,0.09,0.1,0.0618,0.0015,0.0015,0.535,0.085,0.083,1.17,0.16,0.14,-1.0,-1.0,-1,0.33,0.16,0.11,-1.0,-1.0,-1.0,2012A+A...541A.149O,2012A+A...541A.149O,0.9831932773109243,11.167209574353496
CoRoT-17,5740,80,80,0.0,0.1,0.1,1.043,0.074,0.046,1.62,0.47,0.13,4.035,0.069,0.208,0.243,0.066,0.126,3.768,0.0,-1.0,-1.0,0.0481,0.00111,0.00072,2.46,0.26,0.24,1.007,0.345,0.092,60.0,13.0,27,2.26,0.77,1.35,1610.0,210.0,70.0,2011A+A...531A..41C,2012MNRAS.426.1291S,0.6216049382716048,6.384592960430097
CoRoT-18,5440,100,100,-0.1,0.1,0.1,0.88,0.07,0.07,0.883,0.025,0.031,4.491,0.015,0.023,1.28,0.04,0.09,1.9,0.0,-1.0,-1.0,0.0288,0.0008,0.0008,3.3,0.19,0.19,1.146,0.039,0.048,61.7,3.1,4.2,2.06,0.24,0.29,1487.0,19.0,19.0,2011A+A...533A.130H,2019MNRAS.483..824R,1.2978482446206114,7.013502192295369
