System,host_star,has_pdcsap,n_sectors,sector_list
55_Cnc_e,55 Cnc,True,4,"[21, 44, 46, 72]"
pi_Men_c,pi Men,True,24,"[1, 4, 8, 11, 12, 13, 27, 28, 31, 34, 38, 39, 61, 62, 64, 65, 66, 67, 68, 88, 89, 93, 94, 95]"
AU_Mic_b,AU Mic,True,3,"[1, 27, 95]"
AU_Mic_c,AU Mic,True,3,"[1, 27, 95]"
CoRoT-01,CoRoT-01,True,3,"[6, 33, 87]"
CoRoT-02,CoRoT-02,True,2,"[54, 81]"
CoRoT-03,CoRoT-03,True,2,"[54, 81]"
CoRoT-04,CoRoT-04,True,3,"[6, 33, 87]"
CoRoT-05,CoRoT-05,True,3,"[6, 33, 87]"
CoRoT-06,CoRoT-06,True,1,[80]
CoRoT-07,CoRoT-07,True,3,"[6, 33, 87]"
CoRoT-08,CoRoT-08,True,2,"[54, 81]"
CoRoT-09,CoRoT-09,True,1,[80]
CoRoT-10,CoRoT-10,True,2,"[54, 81]"
CoRoT-11,CoRoT-11,True,1,[80]
CoRoT-12,CoRoT-12,True,3,"[6, 33, 87]"
CoRoT-13,CoRoT-13,True,3,"[6, 33, 87]"
CoRoT-14,CoRoT-14,True,3,"[6, 33, 87]"
CoRoT-15,CoRoT-15,False,0,
CoRoT-16,CoRoT-16,True,1,[80]
CoRoT-17,CoRoT-17,True,1,[80]
CoRoT-18,CoRoT-18,True,3,"[6, 33, 87]"
CoRoT-19,CoRoT-19,True,3,"[6, 33, 87]"
CoRoT-20,CoRoT-20,True,3,"[6, 33, 87]"
CoRoT-21,CoRoT-21,True,3,"[6, 33, 87]"
CoRoT-22,CoRoT-22,True,1,[80]
CoRoT-23,CoRoT-23,True,1,[80]
CoRoT-24b,CoRoT-24b,True,3,"[6, 33, 87]"
CoRoT-24c,CoRoT-24c,True,3,"[6, 33, 87]"
CoRoT-25,CoRoT-25,True,1,[80]
CoRoT-26,CoRoT-26,True,1,[80]
CoRoT-27,CoRoT-27,False,0,
CoRoT-28,CoRoT-28,True,1,[80]
CoRoT-29,CoRoT-29,True,1,[80]
CoRoT-30,CoRoT-30,True,1,[80]
CoRoT-31,CoRoT-31,True,1,[87]
CoRoT-32,CoRoT-32,True,3,"[6, 33, 87]"
CoRoT-33,CoRoT-33,True,1,[80]
CoRoT-34,CoRoT-34,False,0,
CoRoT-35,CoRoT-35,False,0,
CoRoT-36,CoRoT-36,False,0,
EPIC_210768568,EPIC 210768568,False,0,
EPIC_212036875,EPIC 212036875,True,4,"[44, 45, 46, 72]"
EPIC_201170410,EPIC 201170410,True,3,"[45, 46, 72]"
EPIC_201702477,EPIC 201702477,True,3,"[45, 46, 72]"
EPIC_201757695,EPIC 201757695,True,3,"[45, 46, 72]"
EPIC_219388192,EPIC 219388192,True,1,[92]
EPIC_246078343b,EPIC 246078343b,True,2,"[42, 92]"
EPIC_246078343c,EPIC 246078343c,True,2,"[42, 92]"
EPIC_246220667b,EPIC 246220667b,True,1,[92]
EPIC_246220667c,EPIC 246220667c,True,1,[92]
EPIC_247422570,EPIC 247422570,False,0,
G_9-40,G 9-40,True,4,"[44, 45, 46, 72]"
Gaia-001,Gaia-001,True,1,[87]
Gaia-002,Gaia-002,True,4,"[47, 60, 73, 74]"
GJ_0012,GJ 0012,True,5,"[42, 43, 57, 70, 84]"
GJ_0238,GJ 0238,True,44,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 61, 62, 63, 64, 65, 66, 67, 68, 69, 87, 88, 89, 90, 93, 94, 95, 96, 97, 98]"
GJ_0357,GJ 0357,True,5,"[8, 35, 62, 89, 99]"
GJ_0367,GJ 0367,True,7,"[9, 35, 36, 63, 89, 90, 99]"
GJ_0436,GJ 0436,True,2,"[22, 49]"
GJ_0486,GJ 0486,True,2,"[23, 50]"
GJ_0806,GJ 0806,True,7,"[41, 55, 56, 75, 76, 82, 83]"
GJ_1132,GJ 1132,True,6,"[9, 10, 36, 63, 90, 99]"
GJ_1214,GJ 1214,False,0,
GJ_1252,GJ 1252,True,4,"[13, 27, 67, 94]"
GJ_3090,GJ 3090,True,5,"[2, 3, 29, 69, 96]"
GJ_3470,GJ 3470,True,5,"[44, 45, 46, 71, 72]"
GJ_3473,GJ 3473,True,4,"[7, 34, 61, 88]"
GJ_3929,GJ 3929,True,3,"[24, 25, 78]"
GJ_9827b,GJ 9827b,True,3,"[42, 70, 92]"
GJ_9827c,GJ 9827c,True,3,"[42, 70, 92]"
GJ_9827d,GJ 9827d,True,3,"[42, 70, 92]"
GPX-1,GPX-1,True,2,"[58, 85]"
HAT-P-01,HAT-P-01,True,3,"[56, 83, 84]"
HAT-P-02,HAT-P-02,True,6,"[24, 25, 51, 52, 78, 79]"
HAT-P-03,HAT-P-03,True,4,"[16, 22, 49, 76]"
HAT-P-04,HAT-P-04,True,5,"[24, 50, 51, 77, 78]"
HAT-P-05,HAT-P-05,True,7,"[26, 40, 53, 54, 74, 79, 80]"
HAT-P-06,HAT-P-06,True,2,"[57, 84]"
HAT-P-07,HAT-P-07,True,10,"[14, 15, 40, 41, 54, 55, 74, 75, 81, 82]"
HAT-P-08,HAT-P-08,True,2,"[56, 83]"
HAT-P-09,HAT-P-09,True,3,"[20, 47, 60]"
HAT-P-11,HAT-P-11,True,11,"[14, 15, 41, 54, 55, 56, 74, 75, 76, 82, 83]"
HAT-P-12,HAT-P-12,True,5,"[23, 49, 50, 76, 77]"
HAT-P-13,HAT-P-13,True,1,[47]
HAT-P-14,HAT-P-14,True,5,"[25, 26, 52, 53, 80]"
HAT-P-15,HAT-P-15,True,2,"[59, 86]"
HAT-P-16,HAT-P-16,True,3,"[17, 57, 84]"
HAT-P-17,HAT-P-17,True,5,"[15, 55, 56, 82, 83]"
HAT-P-18,HAT-P-18,True,3,"[25, 26, 79]"
HAT-P-19,HAT-P-19,True,2,"[57, 84]"
HAT-P-20,HAT-P-20,True,5,"[44, 45, 46, 71, 72]"
HAT-P-21,HAT-P-21,True,2,"[22, 48]"
HAT-P-22,HAT-P-22,True,3,"[21, 48, 75]"
HAT-P-23,HAT-P-23,True,3,"[54, 55, 81]"
HAT-P-24,HAT-P-24,True,8,"[7, 33, 44, 45, 46, 71, 72, 87]"
HAT-P-25,HAT-P-25,True,5,"[42, 43, 44, 70, 71]"
HAT-P-26,HAT-P-26,True,1,[50]
HAT-P-27,HAT-P-27,True,1,[51]
HAT-P-28,HAT-P-28,True,2,"[57, 84]"
HAT-P-29,HAT-P-29,True,2,"[58, 85]"
HAT-P-30,HAT-P-30,True,4,"[7, 34, 61, 88]"
HAT-P-31,HAT-P-31,True,5,"[26, 40, 53, 79, 80]"
HAT-P-32,HAT-P-32,True,1,[58]
HAT-P-33,HAT-P-33,True,6,"[20, 44, 45, 46, 47, 60]"
HAT-P-34,HAT-P-34,True,4,"[14, 41, 54, 81]"
HAT-P-35,HAT-P-35,True,4,"[7, 34, 61, 88]"
HAT-P-36,HAT-P-36,True,3,"[22, 49, 76]"
HAT-P-37,HAT-P-37,True,11,"[26, 40, 41, 53, 54, 55, 59, 74, 75, 80, 82]"
HAT-P-38,HAT-P-38,True,2,"[58, 85]"
HAT-P-39,HAT-P-39,True,5,"[44, 45, 46, 71, 72]"
HAT-P-40,HAT-P-40,True,6,"[56, 57, 76, 77, 83, 84]"
HAT-P-41,HAT-P-41,True,2,"[54, 81]"
