System,host_star,n_sectors,Period,pl_trandur,lc_span_days,lc_n_points,n_predicted,n_observed,n_usable,median_pts_in_window,est_transits,status
TOI-157,TOI-157,35,2.085,2.14584,2501.4,562743.0,1200.0,377.0,376.0,64.0,459,ok
WD_1856+534,WD 1856+534,23,1.408,0.1333,1979.5,345579.0,1406.0,347.0,0.0,4.0,447,ok
KELT-23,KELT-23,21,2.255,2.38104,24.4,295729.0,855.0,175.0,175.0,71.0,255,ok
TOI-2010,TOI-2010,15,141.834,8.681,54.1,247001.0,14.0,3.0,3.0,260.0,2,ok
XO-7,XO-7,13,2.864,2.772,51.5,200010.0,586.0,93.0,93.0,83.0,124,ok
TOI-2025,TOI-2025,13,8.872,3.601,1272.2,192638.0,144.0,31.0,29.0,108.0,40,ok
HAT-P-37,HAT-P-37,12,2.797,2.3304,23.0,180023.0,553.0,89.0,89.0,70.0,117,ok
KELT-24,KELT-24,11,5.552,4.3032,26.9,180851.0,304.0,43.0,43.0,129.0,54,ok
HIP_00065,HIP 65,10,0.981,0.78576,56.2,171922.0,2880.0,196.0,196.0,24.0,279,ok
TOI-1268,TOI-1268,9,8.158,4.001,-134.7,122896.0,416.0,23.0,23.0,120.0,30,ok
HD_017156,HD 17156,8,21.216,3.1505,1872.2,122382.0,88.0,9.0,9.0,94.0,10,ok
TOI-4153,TOI-4153,8,4.617,4.5122,892.1,121510.0,193.0,39.0,39.0,135.0,47,ok
Kepler-1514b,Kepler-1514,8,217.832,21.32688,1168.6,146954.0,6.0,2.0,2.0,639.5,1,ok
Kepler-423,Kepler-423,7,2.684,2.722,1142.5,125145.0,426.0,66.0,66.0,82.0,71,ok
Kepler-077,Kepler-77,7,3.579,2.93376,1142.5,107454.0,320.0,41.0,40.0,88.0,53,ok
TOI-2152,TOI-2152,7,3.377,3.715,780.5,107388.0,231.0,45.0,45.0,111.0,56,ok
K2-115,K2-115,6,20.273,3.8736,1793.9,94092.0,162.0,8.0,8.0,116.0,8,ok
TOI-1518,TOI-1518,5,1.903,2.395,782.7,84785.0,411.0,62.0,62.0,72.0,71,ok
KELT-18,KELT-18,5,2.872,4.644,1492.2,65853.0,1192.0,31.0,31.0,139.0,47,ok
KELT-17,KELT-17,5,3.08,3.4752,785.2,77432.0,1067.0,29.0,29.0,104.0,44,ok
K2-030,K2-30,5,4.099,2.3208,811.7,74371.0,198.0,25.0,24.0,70.0,33,ok
TOI-181,TOI-181,5,4.532,1.99,27.4,80185.0,569.0,19.0,19.0,60.0,30,ok
HAT-P-39,HAT-P-39,5,3.544,4.188,785.3,74429.0,222.0,30.0,30.0,126.0,38,ok
TOI-4994,TOI-4994,5,21.492,4.452,1027.6,76542.0,191.0,5.0,5.0,133.0,6,ok
WASP-064,WASP-64,5,1.573,2.39976,2221.7,80381.0,1412.0,72.0,71.0,72.0,87,ok
WASP-045,WASP-45,5,3.126,1.6824,27.4,80854.0,825.0,27.0,27.0,51.0,43,ok
HAT-P-20,HAT-P-20,5,2.876,1.848,785.3,76637.0,1142.0,38.0,38.0,55.0,47,ok
WASP-170,WASP-170,5,2.345,2.04,1817.6,61721.0,775.0,37.0,37.0,61.0,58,ok
TOI-1259,TOI-1259,34,3.478,2.4754,351.8,523346.0,569.0,202.0,201.0,74.0,267,ok
Kepler-015,Kepler-15,11,4.943,3.5,1193.7,195172.0,241.0,55.0,55.0,105.0,60,ok
TOI-1420,TOI-1420,10,6.956,3.372,1897.4,158767.0,272.0,33.0,33.0,101.0,39,ok
TOI-1431,TOI-1431,10,2.65,2.489,26.0,171788.0,717.0,83.0,83.0,75.0,103,ok
KELT-20,KELT-20,8,3.474,3.57552,26.8,134997.0,533.0,52.0,52.0,107.0,63,ok
KELT-09,KELT-9,8,1.481,3.91584,54.1,133482.0,1266.0,102.0,100.0,118.0,148,ok
WASP-019,WASP-19,7,0.789,1.607,2529.4,118589.0,3206.0,206.0,206.0,48.0,243,ok
TOI-2154,TOI-2154,7,3.824,2.465,1272.2,108792.0,332.0,39.0,39.0,74.0,50,ok
TOI-169,TOI-169,6,2.255,1.7064,2253.1,93286.0,999.0,59.0,59.0,51.0,72,ok
HATS-06,HATS-6,6,3.325,2.04096,21.8,104079.0,775.0,37.0,37.0,62.0,49,ok
Kepler-1654,Kepler-1654,6,1047.836,22.992,976.8,103290.0,1.0,0.0,0.0,0.0,0,ok
HAT-P-12,HAT-P-12,5,3.213,2.3376,1492.3,50995.0,464.0,22.0,22.0,70.0,42,ok
K2-114,K2-114,5,11.391,3.9696,1793.9,78267.0,158.0,10.0,10.0,119.0,12,ok
KELT-21,KELT-21,5,3.613,4.10544,1139.3,81045.0,316.0,31.0,31.0,123.0,37,ok
