System,S001,S002,S006,S007,S009,S011,S012,S013,S014,S015,S016,S017,S018,S019,S020,S021,S022,S023,S024,S025,S026,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S040,S041,S042,S043,S044,S045,S046,S047,S048,S049,S050,S051,S052,S053,S054,S055,S056,S057,S058,S059,S060,S061,S062,S063,S064,S065,S066,S067,S068,S069,S070,S071,S072,S073,S074,S075,S076,S077,S078,S079,S080,S081,S082,S083,S084,S085,S086,S087,S088,S089,S090,S093,S094,S095,S096,S098,S099,S100,S101,S102,Total
TOI-157,0,0,0,0,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,13,12,13,13,12,12,12,12,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,13,13,13,14,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,14,13,12,12,13,28,0,0,0,0,458
WD_1856+534,0,0,0,0,0,0,0,0,19,19,0,0,0,17,0,0,19,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,19,0,0,0,17,19,20,20,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,0,0,19,19,19,19,17,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,432
HIP_00065,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,25,240
TOI-1259,0,0,0,0,0,0,0,0,7,0,0,7,7,7,8,8,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,8,0,7,7,7,8,7,8,0,0,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,8,5,8,8,7,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,239
WASP-019,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,35,0,0,0,0,0,35,0,0,0,237
KELT-23,0,0,0,0,0,0,0,0,12,11,11,11,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,13,12,11,0,0,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
XO-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0,0,0,0,9,9,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,111
KELT-09,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
HAT-P-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,9,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
TOI-1431,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
