rank,planet,sector,n_usable,rms_ppm,stability,snr,completeness,t0_lit_btjd,t0_refined_btjd,t0_shift_min,score
1,TOI-157,11,10,3036.8,0.986,4.22,0.81,1326.494065,1326.484232,-14.16,0.843
2,TOI-157,12,10,2944.8,1.0,4.36,0.853,1326.476689,1326.478448,2.53,0.769
3,TOI-157,9,10,2993.0,1.0,4.29,0.898,1326.499898,1326.497298,-3.74,0.738
4,TOI-157,13,12,3193.0,1.0,4.02,0.923,1326.477766,1326.472284,-7.89,0.632
5,TOI-157,93,10,3508.6,1.0,3.66,0.874,1326.458439,1326.418582,-57.39,0.389
6,TOI-157,95,10,3526.4,1.0,3.64,0.882,1326.453722,1326.453722,0.0,0.379
7,TOI-157,29,10,3555.2,0.999,3.61,0.85,1326.456542,1326.456542,0.0,0.368
8,TOI-157,65,10,3555.6,1.0,3.61,0.901,1326.473855,1326.473855,0.0,0.363
9,TOI-157,34,11,3596.3,1.0,3.57,0.934,1326.515552,1326.553976,55.33,0.36
10,TOI-157,68,10,3550.9,1.0,3.61,0.856,1326.509705,1326.509705,0.0,0.359
11,TOI-157,63,10,3566.0,1.0,3.6,0.893,1326.472215,1326.488174,22.98,0.356
12,TOI-157,89,13,3672.2,1.0,3.49,0.977,1326.456779,1326.462999,8.96,0.351
13,TOI-157,69,9,3561.6,0.999,3.6,0.855,1326.509658,1326.509658,0.0,0.347
14,TOI-157,39,12,3656.1,1.0,3.51,0.961,1326.456989,1326.44811,-12.79,0.344
15,TOI-157,96,10,3585.2,1.0,3.58,0.877,1326.513044,1326.513044,0.0,0.343
16,TOI-157,35,10,3587.8,0.999,3.58,0.786,1326.463063,1326.454141,-12.85,0.342
17,TOI-157,62,10,3599.2,1.0,3.56,0.887,1326.544073,1326.519665,-35.15,0.333
18,TOI-157,64,12,3677.6,1.0,3.49,0.973,1327.116586,1327.116586,0.0,0.333
19,TOI-157,66,8,3537.0,1.0,3.63,0.798,1326.449411,1326.44646,-4.25,0.329
20,TOI-157,36,10,3616.5,1.0,3.55,0.895,1326.508391,1326.508391,0.0,0.326
21,TOI-157,33,12,3707.0,1.0,3.46,0.938,1326.466598,1326.466598,0.0,0.311
22,TOI-157,37,10,3646.5,1.0,3.52,0.877,1326.529257,1326.543432,20.41,0.306
23,TOI-157,94,11,3676.9,1.0,3.49,0.881,1326.529173,1326.554645,36.68,0.305
24,TOI-157,30,12,3745.5,0.999,3.43,0.891,1326.494989,1326.493188,-2.59,0.296
25,TOI-157,32,12,3755.1,1.0,3.42,0.939,1326.476674,1326.476674,0.0,0.285
26,TOI-157,31,11,3724.5,1.0,3.44,0.907,1326.530144,1326.530144,0.0,0.279
27,TOI-157,90,11,3735.8,1.0,3.43,0.929,1326.505353,1326.528401,33.19,0.276
28,TOI-157,61,9,3711.3,1.0,3.46,0.889,1326.479822,1326.479904,0.12,0.254
29,TOI-157,87,8,3686.0,1.0,3.48,0.785,1326.455291,1326.465173,14.23,0.238
30,TOI-157,27,10,3802.1,1.0,3.37,0.938,1326.474162,1326.512267,54.87,0.222
31,TOI-157,38,12,3914.3,1.0,3.28,0.961,1326.529155,1326.529155,0.0,0.199
32,TOI-157,67,8,3811.3,1.0,3.37,0.787,1326.52515,1326.52515,0.0,0.169
33,TOI-157,28,9,3861.3,1.0,3.32,0.854,1326.522501,1326.522501,0.0,0.163
34,TOI-157,88,9,3850.3,1.0,3.33,0.792,1326.459751,1326.459751,0.0,0.162
35,TOI-157,98,14,4068.1,0.998,3.15,0.556,1326.462247,1326.462247,0.0,0.121
1,WASP-019,63,33,3317.0,0.997,6.26,0.961,-597.232177,-597.238712,-9.41,0.987
2,WASP-019,62,27,4103.4,1.0,5.06,0.909,-597.231169,-597.232807,-2.36,0.562
3,WASP-019,89,34,6187.0,1.0,3.36,0.977,-597.275079,-597.275079,0.0,0.275
4,WASP-019,90,32,6183.8,1.0,3.36,0.932,-597.258365,-597.259153,-1.14,0.247
5,WASP-019,36,26,6665.5,0.999,3.12,0.896,-597.263713,-597.265731,-2.91,0.164
6,WASP-019,9,27,6551.5,1.0,3.17,0.912,-597.228036,-597.228036,0.0,0.142
7,WASP-019,99,24,7104.9,1.0,2.92,0.705,-597.284007,-597.303623,-28.25,0.0
1,TOI-1259,58,7,1837.0,1.0,14.57,0.95,1686.699955,1686.692012,-11.44,0.808
2,TOI-1259,59,6,1823.5,0.998,14.67,0.898,1686.691491,1686.693563,2.98,0.798
3,TOI-1259,47,6,1828.3,1.0,14.64,0.885,1686.695965,1686.694932,-1.49,0.786
4,TOI-1259,73,5,1863.4,0.997,14.36,0.61,1686.696486,1686.689347,-10.28,0.703
5,TOI-1259,60,5,1885.3,0.994,14.19,0.754,1686.694924,1686.692709,-3.19,0.702
6,TOI-1259,48,5,1884.0,0.998,14.2,0.814,1686.687508,1686.696402,12.81,0.698
7,TOI-1259,21,7,1946.9,0.999,13.74,0.934,1686.703798,1686.698418,-7.75,0.69
8,TOI-1259,20,8,1984.0,1.0,13.49,0.931,1686.698526,1686.699812,1.85,0.675
9,TOI-1259,40,7,1991.5,0.999,13.44,0.957,1686.700104,1686.695326,-6.88,0.648
10,TOI-1259,19,7,1995.5,0.997,13.41,0.93,1686.692066,1686.701744,13.94,0.647
11,TOI-1259,55,7,1992.6,0.996,13.43,0.864,1686.698287,1686.692898,-7.76,0.646
12,TOI-1259,78,5,1959.8,0.997,13.65,0.95,1686.689213,1686.690541,1.91,0.635
13,TOI-1259,80,6,1960.2,1.0,13.65,0.702,1686.689345,1686.690212,1.25,0.626
14,TOI-1259,81,4,1943.2,0.999,13.77,0.713,1686.684873,1686.69122,9.14,0.598
15,TOI-1259,41,8,2072.7,0.998,12.91,0.909,1686.692955,1686.696608,5.26,0.591
16,TOI-1259,26,7,2071.0,0.994,12.92,0.946,1686.697327,1686.698779,2.09,0.583
17,TOI-1259,14,6,2042.2,0.999,13.1,0.953,1686.711547,1686.698421,-18.9,0.572
18,TOI-1259,53,7,2092.1,0.996,12.79,0.962,1686.698387,1686.693246,-7.4,0.558
19,TOI-1259,50,5,2015.7,1.0,13.28,0.683,1686.702047,1686.693225,-12.7,0.543
20,TOI-1259,79,7,2073.7,0.998,12.9,0.696,1686.688896,1686.690195,1.87,0.543
21,TOI-1259,77,5,2036.9,0.993,13.14,0.637,1686.694153,1686.689392,-6.86,0.538
22,TOI-1259,75,8,2147.1,0.998,12.46,0.977,1686.685171,1686.691647,9.33,0.527
23,TOI-1259,24,6,2101.6,0.999,12.73,0.955,1686.686453,1686.700626,20.41,0.515
24,TOI-1259,54,6,2126.6,1.0,12.58,0.948,1686.689256,1686.695137,8.47,0.488
25,TOI-1259,52,7,2164.0,1.0,12.37,0.952,1686.690015,1686.695138,7.38,0.479
26,TOI-1259,25,6,2141.7,0.998,12.49,0.933,1686.691901,1686.699772,11.33,0.478
27,TOI-1259,86,5,2227.0,0.949,12.02,0.476,1686.688945,1686.688411,-0.77,0.475
28,TOI-1259,51,7,2190.7,1.0,12.21,0.857,1686.694436,1686.694377,-0.08,0.445
29,TOI-1259,74,4,2110.8,0.999,12.68,0.623,1686.692216,1686.690458,-2.53,0.423
30,TOI-1259,18,6,2277.1,0.999,11.75,0.857,1686.699323,1686.699699,0.54,0.347
31,TOI-1259,85,5,2300.3,0.998,11.63,0.809,1686.69402,1686.687559,-9.3,0.3
32,TOI-1259,17,4,2595.7,0.996,10.31,0.804,1686.696489,1686.70125,6.86,0.044
1,HIP_00065,28,17,1695.4,1.0,48.37,0.786,1326.088974,1326.082931,-8.7,0.7
2,HIP_00065,29,20,1850.6,0.993,44.31,0.848,1326.021038,1326.026902,8.44,0.698
3,HIP_00065,102,22,1942.0,0.992,42.22,0.889,1326.117375,1326.116833,-0.78,0.651
4,HIP_00065,2,26,2093.6,0.997,39.17,0.927,1326.10321,1326.103042,-0.24,0.457
5,HIP_00065,95,21,2068.8,0.999,39.64,0.884,1326.089484,1326.082528,-10.02,0.374
6,HIP_00065,96,22,2088.6,1.0,39.26,0.88,1326.113287,1326.118614,7.67,0.344
7,HIP_00065,1,26,2360.9,0.992,34.73,0.91,1326.104448,1326.103915,-0.77,0.294
8,HIP_00065,69,19,2202.4,1.0,37.23,0.86,1326.087106,1326.095929,12.71,0.193
9,HIP_00065,68,19,2329.7,0.999,35.2,0.81,1326.091294,1326.091294,0.0,0.077
1,KELT-23,14,10,933.0,0.999,19.98,0.859,1140.456027,1140.457818,2.58,0.811
2,KELT-23,23,9,940.1,0.994,19.83,0.783,1140.464409,1140.502283,54.54,0.807
3,KELT-23,15,7,1082.1,0.97,17.23,0.758,1140.455256,1140.461897,9.56,0.806
4,KELT-23,16,8,964.1,0.993,19.33,0.806,1140.461113,1140.465123,5.77,0.782
5,KELT-23,17,8,997.8,1.0,18.68,0.794,1140.453513,1140.471546,25.97,0.724
6,KELT-23,21,11,1213.2,0.998,15.36,0.95,1140.453787,1140.453787,0.0,0.688
