planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
HIP_00065,28,1,pre_baseline,pre,exponential,2.49687,-202.17996,Hyperballistic,24,transit_01_pre_msd.png,ok
HIP_00065,28,1,in_transit_raw,raw,exponential,2.21352,-0.83315,Hyperballistic,24,transit_01_raw_msd.png,ok
HIP_00065,28,1,in_transit_model,model,exponential,2.25386,-0.82537,Hyperballistic,24,transit_01_model_msd.png,ok
HIP_00065,28,1,in_transit_resid,resid,exponential,2.51611,-1755.83254,Hyperballistic,24,transit_01_resid_msd.png,ok
HIP_00065,28,1,post_baseline,post,exponential,2.43681,-71.77179,Hyperballistic,23,transit_01_post_msd.png,ok
HIP_00065,28,2,pre_baseline,pre,exponential,2.4402,-344.45394,Hyperballistic,23,transit_02_pre_msd.png,ok
HIP_00065,28,2,in_transit_raw,raw,exponential,2.15209,-1.16249,Hyperballistic,24,transit_02_raw_msd.png,ok
HIP_00065,28,2,in_transit_model,model,exponential,2.25467,-0.82947,Hyperballistic,24,transit_02_model_msd.png,ok
HIP_00065,28,2,in_transit_resid,resid,exponential,2.49024,-143.22465,Hyperballistic,24,transit_02_resid_msd.png,ok
HIP_00065,28,2,post_baseline,post,exponential,2.43774,-145.72641,Hyperballistic,23,transit_02_post_msd.png,ok
HIP_00065,28,3,pre_baseline,pre,exponential,2.4235,-162.83115,Hyperballistic,23,transit_03_pre_msd.png,ok
HIP_00065,28,3,in_transit_raw,raw,exponential,2.23198,-1.39612,Hyperballistic,24,transit_03_raw_msd.png,ok
HIP_00065,28,3,in_transit_model,model,exponential,2.25443,-0.82866,Hyperballistic,24,transit_03_model_msd.png,ok
HIP_00065,28,3,in_transit_resid,resid,exponential,2.50514,-171.92474,Hyperballistic,24,transit_03_resid_msd.png,ok
HIP_00065,28,3,post_baseline,post,exponential,2.435,-210.3849,Hyperballistic,23,transit_03_post_msd.png,ok
HIP_00065,28,4,pre_baseline,pre,exponential,2.47951,-83.98976,Hyperballistic,24,transit_04_pre_msd.png,ok
HIP_00065,28,4,in_transit_raw,raw,exponential,2.16707,-0.89638,Hyperballistic,23,transit_04_raw_msd.png,ok
HIP_00065,28,4,in_transit_model,model,exponential,2.21572,-0.67045,Hyperballistic,23,transit_04_model_msd.png,ok
HIP_00065,28,4,in_transit_resid,resid,exponential,2.44541,-1034.22007,Hyperballistic,23,transit_04_resid_msd.png,ok
HIP_00065,28,4,post_baseline,post,exponential,2.52179,-4443.9862,Hyperballistic,24,transit_04_post_msd.png,ok
