planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
KELT-20,40,1,pre_baseline,pre,exponential,2.81467,-579365.60518,Hyperballistic,107,transit_01_pre_msd.png,ok
KELT-20,40,1,in_transit_raw,raw,exponential,1.07472,-0.19134,Superdiffusive,107,transit_01_raw_msd.png,ok
KELT-20,40,1,in_transit_model,model,exponential,1.14207,-0.22006,Superdiffusive,107,transit_01_model_msd.png,ok
KELT-20,40,1,in_transit_resid,resid,exponential,2.80526,-31836.85754,Hyperballistic,107,transit_01_resid_msd.png,ok
KELT-20,40,1,post_baseline,post,exponential,2.8025,-652081.6337,Hyperballistic,108,transit_01_post_msd.png,ok
KELT-20,40,2,pre_baseline,pre,exponential,2.80892,-183215.66975,Hyperballistic,107,transit_02_pre_msd.png,ok
KELT-20,40,2,in_transit_raw,raw,exponential,1.41809,-0.48475,Superdiffusive,106,transit_02_raw_msd.png,ok
KELT-20,40,2,in_transit_model,model,exponential,1.26989,-0.32885,Superdiffusive,106,transit_02_model_msd.png,ok
KELT-20,40,2,in_transit_resid,resid,exponential,2.79874,-18684.21805,Hyperballistic,106,transit_02_resid_msd.png,ok
KELT-20,40,2,post_baseline,post,exponential,2.80867,-146779.33026,Hyperballistic,107,transit_02_post_msd.png,ok
KELT-20,40,3,pre_baseline,pre,exponential,2.80303,-636812.85485,Hyperballistic,108,transit_03_pre_msd.png,ok
KELT-20,40,3,in_transit_raw,raw,exponential,1.06641,-0.3204,Superdiffusive,107,transit_03_raw_msd.png,ok
KELT-20,40,3,in_transit_model,model,exponential,1.14209,-0.22029,Superdiffusive,107,transit_03_model_msd.png,ok
KELT-20,40,3,in_transit_resid,resid,exponential,2.8017,-49657.48948,Hyperballistic,107,transit_03_resid_msd.png,ok
KELT-20,40,3,post_baseline,post,exponential,2.80966,-205632.14801,Hyperballistic,107,transit_03_post_msd.png,ok
KELT-20,40,4,pre_baseline,pre,exponential,2.81233,-364765.175,Hyperballistic,107,transit_04_pre_msd.png,ok
KELT-20,40,4,in_transit_raw,raw,exponential,1.05321,-0.0905,Superdiffusive,107,transit_04_raw_msd.png,ok
KELT-20,40,4,in_transit_model,model,exponential,1.14212,-0.22015,Superdiffusive,107,transit_04_model_msd.png,ok
KELT-20,40,4,in_transit_resid,resid,exponential,2.80259,-12889.11739,Hyperballistic,107,transit_04_resid_msd.png,ok
KELT-20,40,4,post_baseline,post,exponential,2.81228,-183326.44521,Hyperballistic,107,transit_04_post_msd.png,ok
KELT-20,40,5,pre_baseline,pre,exponential,2.81345,-228866.8072,Hyperballistic,107,transit_05_pre_msd.png,ok
KELT-20,40,5,in_transit_raw,raw,exponential,0.28413,0.56111,Subdiffusive,108,transit_05_raw_msd.png,ok
KELT-20,40,5,in_transit_model,model,exponential,1.10663,-0.16115,Superdiffusive,108,transit_05_model_msd.png,ok
KELT-20,40,5,in_transit_resid,resid,exponential,2.79066,-14271.22242,Hyperballistic,108,transit_05_resid_msd.png,ok
KELT-20,40,5,post_baseline,post,exponential,2.81301,-275421.05655,Hyperballistic,107,transit_05_post_msd.png,ok
KELT-20,40,6,pre_baseline,pre,exponential,2.80101,-302430.75741,Hyperballistic,108,transit_06_pre_msd.png,ok
KELT-20,40,6,in_transit_raw,raw,exponential,1.14809,-0.20398,Superdiffusive,107,transit_06_raw_msd.png,ok
KELT-20,40,6,in_transit_model,model,exponential,1.14206,-0.22035,Superdiffusive,107,transit_06_model_msd.png,ok
KELT-20,40,6,in_transit_resid,resid,exponential,2.80629,-53387.6877,Hyperballistic,107,transit_06_resid_msd.png,ok
KELT-20,40,6,post_baseline,post,exponential,2.8139,-203601.71287,Hyperballistic,107,transit_06_post_msd.png,ok
KELT-20,40,7,pre_baseline,pre,exponential,2.81264,-217747.40335,Hyperballistic,107,transit_07_pre_msd.png,ok
KELT-20,40,7,in_transit_raw,raw,exponential,1.0457,-0.2241,Near-Brownian,107,transit_07_raw_msd.png,ok
KELT-20,40,7,in_transit_model,model,exponential,1.1421,-0.22008,Superdiffusive,107,transit_07_model_msd.png,ok
KELT-20,40,7,in_transit_resid,resid,exponential,2.80673,-32495.70983,Hyperballistic,107,transit_07_resid_msd.png,ok
KELT-20,40,7,post_baseline,post,exponential,2.79941,-211483.84237,Hyperballistic,108,transit_07_post_msd.png,ok
KELT-20,40,8,pre_baseline,pre,exponential,2.81069,-268444.41551,Hyperballistic,107,transit_08_pre_msd.png,ok
KELT-20,40,8,in_transit_raw,raw,exponential,1.05497,-0.05035,Superdiffusive,108,transit_08_raw_msd.png,ok
KELT-20,40,8,in_transit_model,model,exponential,1.10664,-0.16099,Superdiffusive,108,transit_08_model_msd.png,ok
KELT-20,40,8,in_transit_resid,resid,exponential,2.79406,-26476.14331,Hyperballistic,108,transit_08_resid_msd.png,ok
KELT-20,40,8,post_baseline,post,exponential,2.81408,-348075.12466,Hyperballistic,107,transit_08_post_msd.png,ok
