planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
TOI-4153,58,1,pre_baseline,pre,exponential,2.00758,-126.56557,Hyperballistic,136,transit_01_pre_msd.png,ok
TOI-4153,58,1,in_transit_raw,raw,exponential,1.65138,-3.69189,Superdiffusive,135,transit_01_raw_msd.png,ok
TOI-4153,58,1,in_transit_model,model,exponential,1.65257,-0.61684,Superdiffusive,135,transit_01_model_msd.png,ok
TOI-4153,58,1,in_transit_resid,resid,exponential,1.97144,-87.20282,Superdiffusive,135,transit_01_resid_msd.png,ok
TOI-4153,58,1,post_baseline,post,exponential,2.02739,-134.54711,Hyperballistic,135,transit_01_post_msd.png,ok
TOI-4153,58,2,pre_baseline,pre,exponential,2.07217,-150.60556,Hyperballistic,135,transit_02_pre_msd.png,ok
TOI-4153,58,2,in_transit_raw,raw,exponential,1.64886,-6.33257,Superdiffusive,135,transit_02_raw_msd.png,ok
TOI-4153,58,2,in_transit_model,model,exponential,1.65259,-0.61659,Superdiffusive,135,transit_02_model_msd.png,ok
TOI-4153,58,2,in_transit_resid,resid,exponential,1.96753,-75.92688,Superdiffusive,135,transit_02_resid_msd.png,ok
TOI-4153,58,2,post_baseline,post,exponential,1.99385,-109.81089,Superdiffusive,136,transit_02_post_msd.png,ok
TOI-4153,58,3,pre_baseline,pre,exponential,1.98889,-135.40255,Superdiffusive,136,transit_03_pre_msd.png,ok
TOI-4153,58,3,in_transit_raw,raw,exponential,1.27467,-1.58912,Superdiffusive,135,transit_03_raw_msd.png,ok
TOI-4153,58,3,in_transit_model,model,exponential,1.65259,-0.61646,Superdiffusive,135,transit_03_model_msd.png,ok
TOI-4153,58,3,in_transit_resid,resid,exponential,2.00839,-147.4626,Hyperballistic,135,transit_03_resid_msd.png,ok
TOI-4153,58,3,post_baseline,post,exponential,2.09245,-140.21744,Hyperballistic,135,transit_03_post_msd.png,ok
TOI-4153,58,4,pre_baseline,pre,exponential,2.00012,-161.51825,Hyperballistic,135,transit_04_pre_msd.png,ok
TOI-4153,58,4,in_transit_raw,raw,exponential,1.63928,-2.1724,Superdiffusive,88,transit_04_raw_msd.png,ok
TOI-4153,58,4,in_transit_model,model,exponential,2.33687,-0.8082,Hyperballistic,88,transit_04_model_msd.png,ok
TOI-4153,58,4,in_transit_resid,resid,exponential,1.91765,-137.36306,Superdiffusive,88,transit_04_resid_msd.png,ok
TOI-4153,58,4,post_baseline,post,exponential,2.72333,-39.9483,Hyperballistic,32,transit_04_post_msd.png,ok
TOI-4153,58,5,pre_baseline,pre,exponential,1.95386,-116.16797,Superdiffusive,135,transit_05_pre_msd.png,ok
TOI-4153,58,5,in_transit_raw,raw,exponential,1.22475,-6.89769,Superdiffusive,135,transit_05_raw_msd.png,ok
TOI-4153,58,5,in_transit_model,model,exponential,1.6526,-0.6168,Superdiffusive,135,transit_05_model_msd.png,ok
TOI-4153,58,5,in_transit_resid,resid,exponential,1.85705,-54.97396,Superdiffusive,135,transit_05_resid_msd.png,ok
TOI-4153,58,5,post_baseline,post,exponential,2.18465,-233.51532,Hyperballistic,136,transit_05_post_msd.png,ok
