planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
WASP-019,63,1,pre_baseline,pre,exponential,2.77892,-23.81079,Hyperballistic,48,transit_01_pre_msd.png,ok
WASP-019,63,1,in_transit_raw,raw,exponential,0.58604,0.9432,Subdiffusive,49,transit_01_raw_msd.png,ok
WASP-019,63,1,in_transit_model,model,exponential,0.57302,0.98688,Subdiffusive,49,transit_01_model_msd.png,ok
WASP-019,63,1,in_transit_resid,resid,exponential,2.46039,-23.61792,Hyperballistic,49,transit_01_resid_msd.png,ok
WASP-019,63,1,post_baseline,post,exponential,2.31318,-36.68634,Hyperballistic,48,transit_01_post_msd.png,ok
WASP-019,63,2,pre_baseline,pre,exponential,2.79643,-28.74451,Hyperballistic,48,transit_02_pre_msd.png,ok
WASP-019,63,2,in_transit_raw,raw,exponential,0.85393,0.96441,Subdiffusive,48,transit_02_raw_msd.png,ok
WASP-019,63,2,in_transit_model,model,exponential,0.59171,0.98518,Subdiffusive,48,transit_02_model_msd.png,ok
WASP-019,63,2,in_transit_resid,resid,exponential,2.91491,-42.96999,Hyperballistic,48,transit_02_resid_msd.png,ok
WASP-019,63,2,post_baseline,post,exponential,2.74961,-30.48354,Hyperballistic,49,transit_02_post_msd.png,ok
WASP-019,63,3,pre_baseline,pre,exponential,2.91736,-36.10903,Hyperballistic,49,transit_03_pre_msd.png,ok
WASP-019,63,3,in_transit_raw,raw,exponential,0.39395,0.88518,Subdiffusive,48,transit_03_raw_msd.png,ok
WASP-019,63,3,in_transit_model,model,exponential,0.58977,0.9851,Subdiffusive,48,transit_03_model_msd.png,ok
WASP-019,63,3,in_transit_resid,resid,exponential,3.01313,-71.07659,Hyperballistic,48,transit_03_resid_msd.png,ok
WASP-019,63,3,post_baseline,post,exponential,2.6379,-30.10419,Hyperballistic,48,transit_03_post_msd.png,ok
WASP-019,63,4,pre_baseline,pre,exponential,2.69903,-39.78298,Hyperballistic,48,transit_04_pre_msd.png,ok
WASP-019,63,4,in_transit_raw,raw,exponential,0.26482,0.89549,Subdiffusive,48,transit_04_raw_msd.png,ok
WASP-019,63,4,in_transit_model,model,exponential,0.64846,0.98699,Subdiffusive,48,transit_04_model_msd.png,ok
WASP-019,63,4,in_transit_resid,resid,exponential,2.73754,-21.14219,Hyperballistic,48,transit_04_resid_msd.png,ok
WASP-019,63,4,post_baseline,post,exponential,2.70094,-10.58936,Hyperballistic,48,transit_04_post_msd.png,ok
WASP-019,63,5,pre_baseline,pre,exponential,2.68627,-38.89065,Hyperballistic,48,transit_05_pre_msd.png,ok
WASP-019,63,5,in_transit_raw,raw,exponential,0.32613,0.90547,Subdiffusive,48,transit_05_raw_msd.png,ok
WASP-019,63,5,in_transit_model,model,exponential,0.64838,0.98701,Subdiffusive,48,transit_05_model_msd.png,ok
WASP-019,63,5,in_transit_resid,resid,exponential,2.74262,-22.69928,Hyperballistic,48,transit_05_resid_msd.png,ok
WASP-019,63,5,post_baseline,post,exponential,2.86506,-33.5648,Hyperballistic,48,transit_05_post_msd.png,ok
WASP-019,63,6,pre_baseline,pre,exponential,2.91014,-30.7063,Hyperballistic,48,transit_06_pre_msd.png,ok
