planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
XO-7,40,1,pre_baseline,pre,exponential,2.99026,-1359.61289,Hyperballistic,83,transit_01_pre_msd.png,ok
XO-7,40,1,in_transit_raw,raw,exponential,2.39886,-2.21893,Hyperballistic,83,transit_01_raw_msd.png,ok
XO-7,40,1,in_transit_model,model,exponential,2.39526,-1.8819,Hyperballistic,83,transit_01_model_msd.png,ok
XO-7,40,1,in_transit_resid,resid,exponential,3.02667,-2468.12184,Hyperballistic,83,transit_01_resid_msd.png,ok
XO-7,40,1,post_baseline,post,exponential,3.01337,-3310.3979,Hyperballistic,83,transit_01_post_msd.png,ok
XO-7,40,2,pre_baseline,pre,exponential,2.99906,-1866.83787,Hyperballistic,83,transit_02_pre_msd.png,ok
XO-7,40,2,in_transit_raw,raw,exponential,2.43582,-4.46721,Hyperballistic,84,transit_02_raw_msd.png,ok
XO-7,40,2,in_transit_model,model,exponential,2.36344,-1.75195,Hyperballistic,84,transit_02_model_msd.png,ok
XO-7,40,2,in_transit_resid,resid,exponential,3.01204,-1373.73656,Hyperballistic,84,transit_02_resid_msd.png,ok
XO-7,40,2,post_baseline,post,exponential,3.01454,-2501.95613,Hyperballistic,83,transit_02_post_msd.png,ok
XO-7,40,3,pre_baseline,pre,exponential,3.05691,-2483.58039,Hyperballistic,84,transit_03_pre_msd.png,ok
XO-7,40,3,in_transit_raw,raw,exponential,2.37495,-2.75135,Hyperballistic,83,transit_03_raw_msd.png,ok
XO-7,40,3,in_transit_model,model,exponential,2.39514,-1.87904,Hyperballistic,83,transit_03_model_msd.png,ok
XO-7,40,3,in_transit_resid,resid,exponential,2.99704,-1219.89689,Hyperballistic,83,transit_03_resid_msd.png,ok
XO-7,40,3,post_baseline,post,exponential,3.00679,-1921.21682,Hyperballistic,83,transit_03_post_msd.png,ok
XO-7,40,4,pre_baseline,pre,exponential,3.01998,-2164.58408,Hyperballistic,83,transit_04_pre_msd.png,ok
XO-7,40,4,in_transit_raw,raw,exponential,2.47563,-4.02759,Hyperballistic,83,transit_04_raw_msd.png,ok
XO-7,40,4,in_transit_model,model,exponential,2.38411,-1.81957,Hyperballistic,83,transit_04_model_msd.png,ok
XO-7,40,4,in_transit_resid,resid,exponential,3.03201,-3315.97239,Hyperballistic,83,transit_04_resid_msd.png,ok
XO-7,40,4,post_baseline,post,exponential,3.00912,-3000.76822,Hyperballistic,83,transit_04_post_msd.png,ok
XO-7,40,5,pre_baseline,pre,exponential,3.00874,-1864.69453,Hyperballistic,83,transit_05_pre_msd.png,ok
XO-7,40,5,in_transit_raw,raw,exponential,2.51607,-4.8875,Hyperballistic,83,transit_05_raw_msd.png,ok
XO-7,40,5,in_transit_model,model,exponential,2.39506,-1.88071,Hyperballistic,83,transit_05_model_msd.png,ok
XO-7,40,5,in_transit_resid,resid,exponential,2.9636,-958.83933,Hyperballistic,83,transit_05_resid_msd.png,ok
XO-7,40,5,post_baseline,post,exponential,3.05872,-7421.96311,Hyperballistic,83,transit_05_post_msd.png,ok
XO-7,40,6,pre_baseline,pre,exponential,3.01324,-1887.52042,Hyperballistic,83,transit_06_pre_msd.png,ok
XO-7,40,6,in_transit_raw,raw,exponential,2.44195,-3.81095,Hyperballistic,84,transit_06_raw_msd.png,ok
XO-7,40,6,in_transit_model,model,exponential,2.36327,-1.75086,Hyperballistic,84,transit_06_model_msd.png,ok
XO-7,40,6,in_transit_resid,resid,exponential,3.0389,-1053.19796,Hyperballistic,84,transit_06_resid_msd.png,ok
XO-7,40,6,post_baseline,post,exponential,3.02162,-1904.18616,Hyperballistic,83,transit_06_post_msd.png,ok
XO-7,40,7,pre_baseline,pre,exponential,3.06676,-5498.76406,Hyperballistic,84,transit_07_pre_msd.png,ok
XO-7,40,7,in_transit_raw,raw,exponential,2.37111,-2.96597,Hyperballistic,83,transit_07_raw_msd.png,ok
XO-7,40,7,in_transit_model,model,exponential,2.39514,-1.87864,Hyperballistic,83,transit_07_model_msd.png,ok
XO-7,40,7,in_transit_resid,resid,exponential,3.01949,-3543.92073,Hyperballistic,83,transit_07_resid_msd.png,ok
XO-7,40,7,post_baseline,post,exponential,3.03935,-4207.91894,Hyperballistic,83,transit_07_post_msd.png,ok
XO-7,40,8,pre_baseline,pre,exponential,3.02129,-3682.99167,Hyperballistic,82,transit_08_pre_msd.png,ok
XO-7,40,8,in_transit_raw,raw,exponential,2.37508,-1.94785,Hyperballistic,83,transit_08_raw_msd.png,ok
XO-7,40,8,in_transit_model,model,exponential,2.39531,-1.88164,Hyperballistic,83,transit_08_model_msd.png,ok
XO-7,40,8,in_transit_resid,resid,exponential,3.03899,-4459.31962,Hyperballistic,83,transit_08_resid_msd.png,ok
XO-7,40,8,post_baseline,post,exponential,3.02463,-3427.23096,Hyperballistic,83,transit_08_post_msd.png,ok
XO-7,40,9,pre_baseline,pre,exponential,3.04032,-2247.12432,Hyperballistic,83,transit_09_pre_msd.png,ok
XO-7,40,9,in_transit_raw,raw,exponential,2.46329,-3.81455,Hyperballistic,83,transit_09_raw_msd.png,ok
XO-7,40,9,in_transit_model,model,exponential,2.39503,-1.88038,Hyperballistic,83,transit_09_model_msd.png,ok
XO-7,40,9,in_transit_resid,resid,exponential,3.02685,-2406.78818,Hyperballistic,83,transit_09_resid_msd.png,ok
XO-7,40,9,post_baseline,post,exponential,3.04749,-4831.64908,Hyperballistic,83,transit_09_post_msd.png,ok
XO-7,40,10,pre_baseline,pre,exponential,3.02763,-1836.81158,Hyperballistic,83,transit_10_pre_msd.png,ok
XO-7,40,10,in_transit_raw,raw,exponential,2.49799,-4.43625,Hyperballistic,83,transit_10_raw_msd.png,ok
XO-7,40,10,in_transit_model,model,exponential,2.39477,-1.87666,Hyperballistic,83,transit_10_model_msd.png,ok
XO-7,40,10,in_transit_resid,resid,exponential,3.02932,-2451.82327,Hyperballistic,83,transit_10_resid_msd.png,ok
XO-7,40,10,post_baseline,post,exponential,3.06889,-3692.14861,Hyperballistic,84,transit_10_post_msd.png,ok
