planet,sector,transit_n,data_type,tag,model,mu,r2,regime,n_points,image,status
KELT-21,41,1,pre_baseline,pre,exponential,1.64208,-551.00925,Superdiffusive,117,transit_01_pre_msd.png,ok
KELT-21,41,1,in_transit_raw,raw,exponential,1.59273,-1.91762,Superdiffusive,123,transit_01_raw_msd.png,ok
KELT-21,41,1,in_transit_model,model,exponential,1.52533,-1.12495,Superdiffusive,123,transit_01_model_msd.png,ok
KELT-21,41,1,in_transit_resid,resid,exponential,2.24871,-244.53427,Hyperballistic,123,transit_01_resid_msd.png,ok
KELT-21,41,1,post_baseline,post,exponential,2.28912,-299.59505,Hyperballistic,123,transit_01_post_msd.png,ok
KELT-21,41,2,pre_baseline,pre,exponential,2.24013,-217.69113,Hyperballistic,123,transit_02_pre_msd.png,ok
KELT-21,41,2,in_transit_raw,raw,exponential,1.5829,-1.68507,Superdiffusive,123,transit_02_raw_msd.png,ok
KELT-21,41,2,in_transit_model,model,exponential,1.52433,-1.13199,Superdiffusive,123,transit_02_model_msd.png,ok
KELT-21,41,2,in_transit_resid,resid,exponential,1.64511,-919.73123,Superdiffusive,123,transit_02_resid_msd.png,ok
KELT-21,41,2,post_baseline,post,exponential,2.20003,-169.91881,Hyperballistic,123,transit_02_post_msd.png,ok
KELT-21,41,3,pre_baseline,pre,exponential,2.20712,-221.21055,Hyperballistic,124,transit_03_pre_msd.png,ok
KELT-21,41,3,in_transit_raw,raw,exponential,1.58329,-1.74965,Superdiffusive,123,transit_03_raw_msd.png,ok
KELT-21,41,3,in_transit_model,model,exponential,1.52482,-1.12668,Superdiffusive,123,transit_03_model_msd.png,ok
KELT-21,41,3,in_transit_resid,resid,exponential,2.2398,-238.50272,Hyperballistic,123,transit_03_resid_msd.png,ok
KELT-21,41,3,post_baseline,post,exponential,2.18354,-117.9885,Hyperballistic,123,transit_03_post_msd.png,ok
KELT-21,41,4,pre_baseline,pre,exponential,2.22464,-156.41062,Hyperballistic,123,transit_04_pre_msd.png,ok
KELT-21,41,4,in_transit_raw,raw,exponential,1.6067,-2.11538,Superdiffusive,123,transit_04_raw_msd.png,ok
KELT-21,41,4,in_transit_model,model,exponential,1.52467,-1.12943,Superdiffusive,123,transit_04_model_msd.png,ok
KELT-21,41,4,in_transit_resid,resid,exponential,2.27159,-178.20524,Hyperballistic,123,transit_04_resid_msd.png,ok
KELT-21,41,4,post_baseline,post,exponential,1.65023,-816.14617,Superdiffusive,123,transit_04_post_msd.png,ok
KELT-21,41,5,pre_baseline,pre,exponential,1.63951,-525.2458,Superdiffusive,123,transit_05_pre_msd.png,ok
KELT-21,41,5,in_transit_raw,raw,exponential,1.591,-1.57824,Superdiffusive,123,transit_05_raw_msd.png,ok
KELT-21,41,5,in_transit_model,model,exponential,1.52463,-1.12993,Superdiffusive,123,transit_05_model_msd.png,ok
KELT-21,41,5,in_transit_resid,resid,exponential,1.64727,-663.65593,Superdiffusive,123,transit_05_resid_msd.png,ok
KELT-21,41,5,post_baseline,post,exponential,2.27541,-373.76745,Hyperballistic,123,transit_05_post_msd.png,ok
KELT-21,41,6,pre_baseline,pre,exponential,2.22195,-200.40481,Hyperballistic,123,transit_06_pre_msd.png,ok
KELT-21,41,6,in_transit_raw,raw,exponential,1.49709,-0.93122,Superdiffusive,123,transit_06_raw_msd.png,ok
KELT-21,41,6,in_transit_model,model,exponential,1.52436,-1.13184,Superdiffusive,123,transit_06_model_msd.png,ok
KELT-21,41,6,in_transit_resid,resid,exponential,2.22929,-234.31894,Hyperballistic,123,transit_06_resid_msd.png,ok
KELT-21,41,6,post_baseline,post,exponential,2.20804,-273.45492,Hyperballistic,123,transit_06_post_msd.png,ok
KELT-21,41,7,pre_baseline,pre,exponential,2.24734,-215.87376,Hyperballistic,123,transit_07_pre_msd.png,ok
KELT-21,41,7,in_transit_raw,raw,exponential,1.58016,-2.51653,Superdiffusive,123,transit_07_raw_msd.png,ok
KELT-21,41,7,in_transit_model,model,exponential,1.52429,-1.13187,Superdiffusive,123,transit_07_model_msd.png,ok
KELT-21,41,7,in_transit_resid,resid,exponential,2.21189,-168.98877,Hyperballistic,123,transit_07_resid_msd.png,ok
KELT-21,41,7,post_baseline,post,exponential,2.26985,-222.88672,Hyperballistic,123,transit_07_post_msd.png,ok
KELT-21,41,8,pre_baseline,pre,exponential,2.21427,-155.86163,Hyperballistic,123,transit_08_pre_msd.png,ok
KELT-21,41,8,in_transit_raw,raw,exponential,1.54721,-1.39646,Superdiffusive,123,transit_08_raw_msd.png,ok
KELT-21,41,8,in_transit_model,model,exponential,1.52467,-1.12951,Superdiffusive,123,transit_08_model_msd.png,ok
KELT-21,41,8,in_transit_resid,resid,exponential,1.64918,-711.19709,Superdiffusive,123,transit_08_resid_msd.png,ok
KELT-21,41,8,post_baseline,post,exponential,2.29166,-281.13023,Hyperballistic,123,transit_08_post_msd.png,ok
