planet,sector,selection_method,score,snr,rms_ppm,stability,n_usable_survey,overview_image
TOI-157,11,auto-ranked,0.843,4.22,3036.8,0.986,10,KELT-21_S041_overview.png
WASP-019,63,auto-ranked,0.987,6.26,3317.0,0.997,33,KELT-21_S041_overview.png
TOI-1259,58,auto-ranked,0.808,14.57,1837.0,1.0,7,KELT-21_S041_overview.png
HIP_00065,28,auto-ranked,0.7,48.37,1695.4,1.0,17,KELT-21_S041_overview.png
KELT-23,14,auto-ranked,0.811,19.98,933.0,0.999,10,KELT-21_S041_overview.png
KELT-09,41,auto-ranked,0.968,16.6,407.9,0.995,17,KELT-21_S041_overview.png
XO-7,40,auto-ranked,0.849,8.84,1028.4,1.0,10,KELT-21_S041_overview.png
TOI-1431,57,auto-ranked,0.889,15.41,376.2,1.0,10,KELT-21_S041_overview.png
TOI-1518,58,auto-ranked,0.917,17.71,557.7,1.0,14,KELT-21_S041_overview.png
KELT-20,40,auto-ranked,0.921,30.62,427.4,0.98,8,KELT-21_S041_overview.png
TOI-2152,59,auto-ranked,0.785,4.04,1647.6,1.0,6,KELT-21_S041_overview.png
KELT-24,47,auto-ranked,0.909,14.98,505.7,0.99,4,KELT-21_S041_overview.png
TOI-2154,59,auto-ranked,0.802,8.1,1410.7,1.0,6,KELT-21_S041_overview.png
TOI-4153,58,auto-ranked,0.811,5.14,1812.9,1.0,5,KELT-21_S041_overview.png
KELT-17,44,auto-ranked,0.853,12.98,698.5,0.998,8,KELT-21_S041_overview.png
TOI-1420,84,auto-ranked,0.915,7.29,1914.4,0.997,3,KELT-21_S041_overview.png
KELT-18,48,auto-ranked,0.892,7.2,994.3,0.999,6,KELT-21_S041_overview.png
TOI-2025,47,auto-ranked,0.777,3.58,1560.0,1.0,2,KELT-21_S041_overview.png
KELT-21,41,auto-ranked,0.847,6.84,1448.1,1.0,8,KELT-21_S041_overview.png
