planet,global_n,sector,transit_in_sector,tc_btjd
WASP-019,1,63,1,3014.804015
WASP-019,2,63,2,3015.593015
WASP-019,3,63,3,3016.382015
WASP-019,4,63,4,3017.171015
WASP-019,5,63,5,3017.960015
WASP-019,6,63,6,3018.749015
WASP-019,7,63,7,3019.538015
WASP-019,8,63,8,3020.327015
WASP-019,10,63,10,3021.905015
WASP-019,11,63,11,3022.694015
WASP-019,12,63,12,3023.483015
WASP-019,13,63,13,3024.272015
WASP-019,14,63,14,3025.061015
WASP-019,15,63,15,3025.850015
WASP-019,16,63,16,3026.639015
WASP-019,17,63,17,3027.428015
WASP-019,18,63,18,3028.217015
WASP-019,19,63,19,3029.006015
WASP-019,20,63,20,3029.795015
WASP-019,21,63,21,3030.584015
WASP-019,22,63,22,3031.373015
WASP-019,23,63,23,3032.162015
WASP-019,24,63,24,3032.951015
WASP-019,25,63,25,3033.740015
WASP-019,26,63,26,3034.529015
WASP-019,27,63,27,3035.318015
WASP-019,28,63,28,3036.107015
WASP-019,29,63,29,3036.896015
WASP-019,30,63,30,3037.685015
WASP-019,31,63,31,3038.474015
WASP-019,32,63,32,3039.263015
WASP-019,33,63,33,3040.052015
TOI-157,1,11,1,1599.619722
TOI-157,2,11,2,1601.704722
TOI-157,3,11,3,1603.789722
TOI-157,4,11,4,1605.874722
TOI-157,5,11,5,1607.959722
TOI-157,6,11,6,1610.044722
TOI-157,7,11,7,1612.129722
TOI-157,8,11,8,1614.214722
TOI-157,9,11,9,1616.299722
TOI-157,10,11,10,1618.384722
TOI-157,11,11,11,1620.469722
TOI-157,12,11,12,1622.554722
TOI-1259,1,58,1,2883.125596
TOI-1259,2,58,2,2886.603596
TOI-1259,3,58,3,2890.081596
TOI-1259,4,58,4,2893.559596
TOI-1259,5,58,5,2900.515596
TOI-1259,6,58,6,2903.993596
TOI-1259,7,58,7,2907.471596
HIP_00065,1,28,1,2062.814228
HIP_00065,2,28,2,2063.795228
HIP_00065,3,28,3,2064.776228
HIP_00065,4,28,4,2065.757228
HIP_00065,5,28,5,2066.738228
HIP_00065,6,28,6,2067.719228
HIP_00065,7,28,7,2068.700228
HIP_00065,8,28,8,2069.681228
HIP_00065,9,28,9,2075.567228
HIP_00065,10,28,10,2076.548228
HIP_00065,11,28,11,2077.529228
HIP_00065,12,28,12,2078.510228
HIP_00065,13,28,13,2079.491228
HIP_00065,14,28,14,2080.472228
HIP_00065,15,28,15,2081.453228
HIP_00065,16,28,16,2082.434228
HIP_00065,17,28,17,2083.415228
KELT-23,1,14,1,1683.912792
KELT-23,2,14,2,1686.167792
KELT-23,3,14,3,1688.422792
KELT-23,4,14,4,1690.677792
KELT-23,5,14,5,1692.932792
KELT-23,6,14,6,1697.442792
KELT-23,7,14,7,1699.697792
KELT-23,8,14,8,1701.952792
KELT-23,9,14,9,1704.207792
KELT-23,10,14,10,1706.462792
KELT-09,1,41,1,2421.042885
KELT-09,2,41,2,2422.523885
KELT-09,3,41,3,2424.004885
KELT-09,4,41,4,2425.485885
KELT-09,5,41,5,2426.966885
KELT-09,6,41,6,2428.447885
KELT-09,7,41,7,2429.928885
KELT-09,8,41,8,2431.409885
KELT-09,9,41,9,2434.371885
KELT-09,10,41,10,2435.852885
KELT-09,11,41,11,2437.333885
KELT-09,12,41,12,2438.814885
KELT-09,13,41,13,2440.295885
KELT-09,14,41,14,2441.776885
KELT-09,15,41,15,2443.257885
KELT-09,16,41,16,2444.738885
KELT-09,17,41,17,2446.219885
XO-7,1,40,1,2392.505566
XO-7,2,40,2,2395.369566
XO-7,3,40,3,2398.233566
XO-7,4,40,4,2401.097566
XO-7,5,40,5,2403.961566
XO-7,6,40,6,2406.825566
XO-7,7,40,7,2409.689566
XO-7,8,40,8,2412.553566
XO-7,9,40,9,2415.417566
XO-7,10,40,10,2418.281566
TOI-1431,1,57,1,2854.926005
TOI-1431,2,57,2,2857.576005
TOI-1431,3,57,3,2860.226005
TOI-1431,4,57,4,2862.876005
TOI-1431,5,57,5,2868.176005
TOI-1431,6,57,6,2870.826005
TOI-1431,7,57,7,2873.476005
TOI-1431,8,57,8,2876.126005
TOI-1431,9,57,9,2878.776005
TOI-1431,10,57,10,2881.426005
TOI-1518,1,58,1,2882.950617
TOI-1518,2,58,2,2884.853617
TOI-1518,3,58,3,2886.756617
TOI-1518,4,58,4,2888.659617
TOI-1518,5,58,5,2890.562617
TOI-1518,6,58,6,2892.465617
TOI-1518,7,58,7,2894.368617
TOI-1518,8,58,8,2898.174617
TOI-1518,9,58,9,2900.077617
TOI-1518,10,58,10,2901.980617
TOI-1518,11,58,11,2903.883617
TOI-1518,12,58,12,2905.786617
TOI-1518,13,58,13,2907.689617
TOI-1518,14,58,14,2909.592617
KELT-20,1,40,1,2393.031459
KELT-20,2,40,2,2396.505459
KELT-20,3,40,3,2399.979459
KELT-20,4,40,4,2403.453459
KELT-20,5,40,5,2406.927459
KELT-20,6,40,6,2410.401459
KELT-20,7,40,7,2413.875459
KELT-20,8,40,8,2417.349459
TOI-2152,1,59,1,2913.834393
TOI-2152,2,59,2,2917.211393
TOI-2152,3,59,3,2920.588393
TOI-2152,4,59,4,2927.342393
TOI-2152,5,59,5,2930.719393
TOI-2152,6,59,6,2934.096393
KELT-24,1,47,1,2584.160649
KELT-24,2,47,2,2589.712649
KELT-24,3,47,3,2600.816649
KELT-24,4,47,4,2606.368649
TOI-2154,1,59,1,2913.418138
TOI-2154,2,59,2,2917.242138
TOI-2154,3,59,3,2921.066138
TOI-2154,4,59,4,2928.714138
TOI-2154,5,59,5,2932.538138
TOI-2154,6,59,6,2936.362138
TOI-4153,1,58,1,2884.89942
TOI-4153,2,58,2,2894.13342
TOI-4153,3,58,3,2898.75042
TOI-4153,4,58,4,2903.36742
TOI-4153,5,58,5,2907.98442
KELT-17,1,44,1,2502.394223
KELT-17,2,44,2,2505.474223
KELT-17,3,44,3,2508.554223
KELT-17,4,44,4,2511.634223
KELT-17,5,44,5,2514.714223
KELT-17,6,44,6,2517.794223
KELT-17,7,44,7,2520.874223
KELT-17,8,44,8,2523.954223
TOI-1420,1,84,1,3588.674332
TOI-1420,2,84,2,3602.586332
TOI-1420,3,84,3,3609.542332
KELT-18,1,48,1,2613.019525
KELT-18,2,48,2,2615.891525
KELT-18,3,48,3,2618.763525
KELT-18,4,48,4,2627.379525
KELT-18,5,48,5,2630.251525
KELT-18,6,48,6,2633.123525
TOI-2025,1,47,1,2604.111132
KELT-21,1,41,1,2420.242704
KELT-21,2,41,2,2423.855704
KELT-21,3,41,3,2427.468704
KELT-21,4,41,4,2431.081704
KELT-21,5,41,5,2434.694704
KELT-21,6,41,6,2438.307704
