planet,sector,transit,n_points,mu,beta,N_coeff,fit_mode,R2
HIP_00065,sector_028,transit_01,71,2.260795,84.0588,1.2591e-01,scaled,-2.976854
HIP_00065,sector_028,transit_02,70,2.151852,83.739022,1.2713e-01,scaled,-2.856543
HIP_00065,sector_028,transit_03,70,2.293807,84.093551,1.2615e-01,scaled,-3.389546
HIP_00065,sector_028,transit_04,71,2.059451,83.259761,1.2999e-01,scaled,-1.961014
HIP_00065,sector_028,transit_05,71,2.222223,83.776401,1.2797e-01,scaled,-2.8512
HIP_00065,sector_028,transit_06,70,2.178477,83.862442,1.2638e-01,scaled,-3.431599
HIP_00065,sector_028,transit_07,71,2.29018,84.035413,1.2663e-01,scaled,-2.978851
HIP_00065,sector_028,transit_08,71,2.088257,83.292921,1.3023e-01,scaled,-2.081643
HIP_00065,sector_028,transit_09,70,2.212406,83.802608,1.2758e-01,scaled,-2.616256
HIP_00065,sector_028,transit_10,71,2.345697,84.044226,1.2743e-01,scaled,-3.077505
HIP_00065,sector_028,transit_11,71,2.203283,83.394563,1.3130e-01,scaled,-2.288077
HIP_00065,sector_028,transit_12,71,2.213797,83.657508,1.2896e-01,scaled,-2.709781
HIP_00065,sector_028,transit_13,71,2.070145,83.244026,1.3032e-01,scaled,-2.303151
HIP_00065,sector_028,transit_14,71,2.43019,84.677825,1.2272e-01,scaled,-4.131546
HIP_00065,sector_028,transit_15,71,2.386276,84.261675,1.2601e-01,scaled,-3.130869
HIP_00065,sector_028,transit_16,71,2.187444,83.454294,1.3044e-01,scaled,-2.651055
HIP_00065,sector_028,transit_17,71,2.135733,83.448391,1.2959e-01,scaled,-2.58413
KELT-09,sector_041,transit_01,352,0.811078,98.831029,7.4094e-03,scaled,0.870918
KELT-09,sector_041,transit_02,353,0.79177,98.752913,7.8416e-03,scaled,0.874336
KELT-09,sector_041,transit_03,352,0.805393,98.825052,7.3965e-03,scaled,0.86449
KELT-09,sector_041,transit_04,353,0.812198,98.839661,7.3502e-03,scaled,0.865858
KELT-09,sector_041,transit_05,352,0.79144,98.765539,7.7338e-03,scaled,0.867532
KELT-09,sector_041,transit_06,353,0.813925,98.858273,7.2185e-03,scaled,0.860008
KELT-09,sector_041,transit_07,353,0.816409,98.868548,7.1619e-03,scaled,0.862602
KELT-09,sector_041,transit_08,352,0.789087,98.756166,7.7884e-03,scaled,0.865776
KELT-09,sector_041,transit_09,353,0.819133,98.862084,7.2400e-03,scaled,0.872178
KELT-09,sector_041,transit_10,352,0.795298,98.783454,7.6309e-03,scaled,0.863665
KELT-09,sector_041,transit_11,352,0.796898,98.787157,7.6151e-03,scaled,0.864729
KELT-09,sector_041,transit_12,352,0.818435,98.881573,7.0755e-03,scaled,0.854121
KELT-09,sector_041,transit_13,345,0.792656,98.807468,7.4878e-03,scaled,0.857891
KELT-09,sector_041,transit_14,351,0.799344,98.789038,7.6299e-03,scaled,0.872372
KELT-09,sector_041,transit_15,352,0.814272,98.863581,7.1799e-03,scaled,0.85695
KELT-09,sector_041,transit_16,352,0.800972,98.80815,7.4877e-03,scaled,0.863044
KELT-09,sector_041,transit_17,352,0.797182,98.786725,7.6219e-03,scaled,0.866975
KELT-17,sector_044,transit_01,312,0.332271,98.745462,5.1335e-03,scaled,0.932535
KELT-17,sector_044,transit_02,312,0.327564,98.86646,5.1791e-03,scaled,0.930539
KELT-17,sector_044,transit_03,312,0.347083,98.988935,5.4683e-03,scaled,0.928387
KELT-17,sector_044,transit_04,221,0.889861,97.336221,1.4428e-02,scaled,0.906064
KELT-17,sector_044,transit_05,303,0.484428,98.444409,7.8718e-03,scaled,0.895953
KELT-17,sector_044,transit_06,313,0.338713,99.182737,5.4847e-03,scaled,0.932919
KELT-17,sector_044,transit_07,304,0.319245,98.5359,5.0823e-03,scaled,0.933375
KELT-17,sector_044,transit_08,313,0.362945,99.090145,5.9161e-03,scaled,0.937331
KELT-18,sector_048,transit_01,418,0.735973,98.663445,8.3403e-03,scaled,0.890923
KELT-18,sector_048,transit_02,418,0.754426,98.713933,8.0984e-03,scaled,0.88775
KELT-18,sector_048,transit_03,418,0.774505,98.706488,8.2821e-03,scaled,0.904273
KELT-18,sector_048,transit_04,418,0.788744,98.783863,7.7668e-03,scaled,0.904245
KELT-18,sector_048,transit_05,418,0.744905,98.663649,8.4051e-03,scaled,0.889616
KELT-18,sector_048,transit_06,418,0.752238,98.688677,8.2681e-03,scaled,0.895481
KELT-20,sector_040,transit_01,322,0.378836,96.501938,1.4272e-02,scaled,0.931002
KELT-20,sector_040,transit_02,320,0.367339,96.293143,1.3818e-02,scaled,0.931451
KELT-20,sector_040,transit_03,322,0.383043,96.53073,1.4613e-02,scaled,0.93057
KELT-20,sector_040,transit_04,321,0.387477,96.458097,1.4809e-02,scaled,0.934315
KELT-20,sector_040,transit_05,322,0.381603,96.513022,1.4434e-02,scaled,0.932687
KELT-20,sector_040,transit_06,322,0.370834,96.420948,1.3548e-02,scaled,0.93091
KELT-20,sector_040,transit_07,322,0.370878,96.418896,1.3935e-02,scaled,0.930901
KELT-20,sector_040,transit_08,322,0.385922,96.498951,1.4410e-02,scaled,0.934007
KELT-21,sector_041,transit_01,363,0.480082,98.435405,1.0743e-02,scaled,0.923591
KELT-21,sector_041,transit_02,369,0.509629,99.048364,1.2212e-02,scaled,0.926784
KELT-21,sector_041,transit_03,370,0.473622,98.445775,1.0442e-02,scaled,0.919964
KELT-21,sector_041,transit_04,369,0.467935,98.424968,1.0524e-02,scaled,0.92429
KELT-21,sector_041,transit_05,369,0.45087,98.491033,1.0186e-02,scaled,0.91715
KELT-21,sector_041,transit_06,369,0.433401,98.478922,9.8892e-03,scaled,0.919079
KELT-21,sector_041,transit_07,369,0.47782,98.93841,1.1336e-02,scaled,0.91972
KELT-21,sector_041,transit_08,369,0.47849,98.860723,1.1099e-02,scaled,0.925296
KELT-23,sector_014,transit_01,207,0.077331,74.45572,3.5187e-03,scaled,0.955124
KELT-23,sector_014,transit_02,215,0.100158,78.87942,5.1632e-03,scaled,0.946658
KELT-23,sector_014,transit_03,201,0.276492,65.330667,1.2399e-02,scaled,0.943145
KELT-23,sector_014,transit_04,214,0.228104,71.95584,1.1369e-02,scaled,0.944563
KELT-23,sector_014,transit_05,208,0.265188,66.854811,1.2191e-02,scaled,0.945787
KELT-23,sector_014,transit_06,175,0.067913,68.028493,3.0821e-03,scaled,0.969699
KELT-23,sector_014,transit_07,213,0.176703,71.669984,8.5656e-03,scaled,0.941103
KELT-23,sector_014,transit_08,210,0.261006,66.14499,1.1773e-02,scaled,0.941835
KELT-23,sector_014,transit_09,214,0.146149,75.323964,7.2297e-03,scaled,0.943198
KELT-23,sector_014,transit_10,210,0.074798,77.898094,3.8824e-03,scaled,0.943377
KELT-24,sector_047,transit_01,387,0.738674,98.54731,9.0448e-03,scaled,0.894396
KELT-24,sector_047,transit_02,387,0.736345,98.528332,9.1811e-03,scaled,0.899104
KELT-24,sector_047,transit_03,388,0.73323,98.489062,9.4810e-03,scaled,0.903182
KELT-24,sector_047,transit_04,387,0.74788,98.502997,9.4788e-03,scaled,0.910263
Qatar-1,sector_024,transit_01,180,0.292997,46.76552,1.1558e-02,scaled,0.93977
Qatar-1,sector_024,transit_02,180,0.239764,48.259833,1.0312e-02,scaled,0.946029
Qatar-1,sector_024,transit_03,180,0.324079,46.150528,1.2959e-02,scaled,0.932424
Qatar-1,sector_024,transit_04,180,0.255944,47.100998,9.7854e-03,scaled,0.947236
Qatar-1,sector_024,transit_05,177,0.31423,47.76592,1.2390e-02,scaled,0.954328
Qatar-1,sector_024,transit_06,175,0.423083,40.493603,1.1876e-02,scaled,0.943674
Qatar-1,sector_024,transit_07,176,0.187078,52.386143,8.5993e-03,scaled,0.935118
Qatar-1,sector_024,transit_08,176,0.562145,37.76217,1.5281e-02,scaled,0.933495
Qatar-1,sector_024,transit_09,173,0.220057,50.299496,9.4319e-03,scaled,0.93524
TOI-1259,sector_058,transit_01,223,0.255988,75.59146,2.6462e-02,scaled,0.942133
TOI-1259,sector_058,transit_02,223,0.032955,86.760187,3.9329e-03,scaled,0.948594
TOI-1259,sector_058,transit_03,223,0.10238,82.896559,1.1407e-02,scaled,0.950079
TOI-1259,sector_058,transit_04,222,0.068682,83.720219,7.4528e-03,scaled,0.947216
TOI-1259,sector_058,transit_05,223,0.249889,75.144023,2.4995e-02,scaled,0.946008
TOI-1259,sector_058,transit_06,223,0.100089,82.533091,1.0708e-02,scaled,0.943963
TOI-1259,sector_058,transit_07,223,0.132239,81.102751,1.4282e-02,scaled,0.943096
TOI-1420,sector_084,transit_01,303,0.241723,99.920292,1.2246e-02,scaled,0.937965
TOI-1420,sector_084,transit_02,304,0.320924,95.605223,1.5153e-02,scaled,0.925651
TOI-1420,sector_084,transit_03,304,0.241838,99.995987,1.1731e-02,scaled,0.934335
TOI-1431,sector_057,transit_01,224,1.259925,98.355079,8.0090e-03,scaled,0.189669
TOI-1431,sector_057,transit_02,224,1.250855,98.346027,8.0659e-03,scaled,0.193559
TOI-1431,sector_057,transit_03,224,1.244486,98.338447,8.1203e-03,scaled,0.211436
TOI-1431,sector_057,transit_04,224,1.237497,98.336861,8.0966e-03,scaled,0.197025
TOI-1431,sector_057,transit_05,224,1.22179,98.323823,8.1581e-03,scaled,0.210287
TOI-1431,sector_057,transit_06,224,1.260122,98.358924,7.9627e-03,scaled,0.165664
TOI-1431,sector_057,transit_07,224,1.219458,98.314601,8.2555e-03,scaled,0.248383
TOI-1431,sector_057,transit_08,224,1.273524,98.369773,7.9076e-03,scaled,0.150518
TOI-1431,sector_057,transit_09,224,1.268007,98.36386,7.9488e-03,scaled,0.151069
TOI-1431,sector_057,transit_10,224,1.281375,98.381769,7.8049e-03,scaled,0.071749
TOI-1518,sector_058,transit_01,215,0.563434,97.811757,8.8525e-03,scaled,0.682343
TOI-1518,sector_058,transit_02,216,0.557779,97.861378,8.6811e-03,scaled,0.664639
TOI-1518,sector_058,transit_03,215,0.558578,97.666192,8.9306e-03,scaled,0.695823
TOI-1518,sector_058,transit_04,213,0.181099,69.974094,1.6474e-03,scaled,0.955018
TOI-1518,sector_058,transit_05,215,0.551062,97.668694,8.5849e-03,scaled,0.654589
TOI-1518,sector_058,transit_06,215,0.556592,97.676351,8.8074e-03,scaled,0.695018
TOI-1518,sector_058,transit_07,216,0.497384,55.844504,3.1589e-03,scaled,0.950111
TOI-1518,sector_058,transit_08,216,0.30624,65.188514,2.4561e-03,scaled,0.956196
