planet,sector,transit,n_points,mu,nu,N_coeff,fit_mode,R2
HIP_00065,sector_028,transit_01,71,1.165868,0.07189533,8.4170e-07,scaled,0.994569
HIP_00065,sector_028,transit_02,70,0.933478,0.0529981,1.8842e-06,scaled,0.921843
HIP_00065,sector_028,transit_03,70,0.884919,0.04632216,1.8672e-06,scaled,0.918548
HIP_00065,sector_028,transit_04,71,0.960897,0.04919311,1.7373e-06,scaled,0.935793
HIP_00065,sector_028,transit_05,71,0.902403,0.04559465,1.8611e-06,scaled,0.931234
HIP_00065,sector_028,transit_06,70,0.924051,0.05571492,1.9941e-06,scaled,0.929819
HIP_00065,sector_028,transit_07,71,0.893706,0.04377024,1.7673e-06,scaled,0.911859
HIP_00065,sector_028,transit_08,71,0.939886,0.04590027,1.7943e-06,scaled,0.937522
HIP_00065,sector_028,transit_09,70,1.164402,0.06951739,8.4680e-07,scaled,0.988535
HIP_00065,sector_028,transit_10,71,0.87603,0.03926552,1.7439e-06,scaled,0.936518
HIP_00065,sector_028,transit_11,71,0.898859,0.03762096,1.8229e-06,scaled,0.954331
HIP_00065,sector_028,transit_12,71,0.903572,0.04406415,1.8521e-06,scaled,0.940103
HIP_00065,sector_028,transit_13,71,0.93527,0.04778101,1.9050e-06,scaled,0.941388
HIP_00065,sector_028,transit_14,71,0.891295,0.0482626,1.5859e-06,scaled,0.895733
HIP_00065,sector_028,transit_15,71,0.880159,0.04040476,1.6513e-06,scaled,0.916326
HIP_00065,sector_028,transit_16,71,0.894068,0.04138128,1.9374e-06,scaled,0.95112
HIP_00065,sector_028,transit_17,71,0.917768,0.04681972,1.9213e-06,scaled,0.943726
KELT-09,sector_041,transit_01,352,1.374295,0.01510544,3.3848e-08,scaled,0.996298
KELT-09,sector_041,transit_02,353,1.376298,0.01516825,3.6225e-08,scaled,0.997117
KELT-09,sector_041,transit_03,352,1.354358,0.01504903,3.9301e-08,scaled,0.996522
KELT-09,sector_041,transit_04,353,0.618228,0.00216779,4.4363e-06,scaled,0.494327
