planet,sector,transit_n,export_n,overall_n,tc_btjd,tc_utc,tess_year,median_pts,single_sector
TOI-157,98,1,1,1,3989.007247,09/11/2025,7,64,TRUE
TOI-157,98,2,2,2,3991.092247,11/11/2025,7,64,TRUE
TOI-157,98,3,3,3,3993.177247,13/11/2025,7,64,TRUE
TOI-157,98,4,4,4,3995.262247,15/11/2025,7,64,TRUE
TOI-157,98,5,5,5,3997.347247,17/11/2025,7,64,TRUE
TOI-157,98,6,6,6,3999.432247,19/11/2025,7,64,TRUE
TOI-157,98,7,7,7,4001.517247,22/11/2025,7,64,TRUE
TOI-157,98,8,8,8,4003.602247,24/11/2025,7,64,TRUE
TOI-157,98,9,9,9,4005.687247,26/11/2025,7,64,TRUE
TOI-157,98,10,10,10,4007.772247,28/11/2025,7,64,TRUE
TOI-1259,20,1,1,1,1843.208526,25/12/2019,2,74,FALSE
TOI-1259,20,2,2,2,1846.686526,29/12/2019,2,74,FALSE
TOI-1259,20,3,3,3,1850.164526,01/01/2020,2,74,FALSE
TOI-1259,20,4,4,4,1853.642526,05/01/2020,2,74,FALSE
TOI-1259,20,5,5,5,1857.120526,08/01/2020,2,74,FALSE
TOI-1259,20,6,6,6,1860.598526,12/01/2020,2,74,FALSE
TOI-1259,20,7,7,7,1864.076526,15/01/2020,2,74,FALSE
TOI-1259,20,8,8,8,1867.554526,19/01/2020,2,74,FALSE
TOI-1259,21,1,1,9,1871.037798,22/01/2020,2,74,FALSE
TOI-1259,21,2,2,10,1874.515798,26/01/2020,2,74,FALSE
KELT-23,41,1,1,1,2421.224676,25/07/2021,4,71,TRUE
KELT-23,41,2,2,2,2423.479676,27/07/2021,4,71,TRUE
KELT-23,41,3,3,3,2425.734676,30/07/2021,4,71,TRUE
KELT-23,41,4,4,4,2427.989676,01/08/2021,4,71,TRUE
KELT-23,41,5,5,5,2430.244676,03/08/2021,4,71,TRUE
KELT-23,41,6,6,6,2432.499676,05/08/2021,4,71,TRUE
KELT-23,41,7,7,7,2434.754676,08/08/2021,4,71,TRUE
KELT-23,41,8,8,8,2437.009676,10/08/2021,4,71,TRUE
KELT-23,41,9,9,9,2439.264676,12/08/2021,4,71,TRUE
KELT-23,41,10,10,10,2441.519676,15/08/2021,4,71,TRUE
XO-7,40,1,1,1,2392.495717,26/06/2021,4,83,TRUE
XO-7,40,2,2,2,2395.359717,29/06/2021,4,83,TRUE
XO-7,40,3,3,3,2398.223717,02/07/2021,4,83,TRUE
XO-7,40,4,4,4,2401.087717,05/07/2021,4,83,TRUE
XO-7,40,5,5,5,2403.951717,08/07/2021,4,83,TRUE
XO-7,40,6,6,6,2406.815717,11/07/2021,4,83,TRUE
XO-7,40,7,7,7,2409.679717,14/07/2021,4,83,TRUE
XO-7,40,8,8,8,2412.543717,17/07/2021,4,83,TRUE
XO-7,40,9,9,9,2415.407717,19/07/2021,4,83,TRUE
XO-7,40,10,10,10,2418.271717,22/07/2021,4,83,TRUE
TOI-2025,40,1,1,1,2391.326065,25/06/2021,4,108,FALSE
TOI-2025,40,2,2,2,2400.198065,04/07/2021,4,108,FALSE
TOI-2025,40,3,3,3,2409.070065,13/07/2021,4,108,FALSE
TOI-2025,40,4,4,4,2417.942065,22/07/2021,4,108,FALSE
TOI-2025,52,1,1,5,2719.444166,19/05/2022,4,108,FALSE
TOI-2025,52,2,2,6,2728.316166,28/05/2022,4,108,FALSE
TOI-2025,52,3,3,7,2737.188166,06/06/2022,4,108,FALSE
TOI-2025,53,1,1,8,2746.061165,15/06/2022,4,108,FALSE
TOI-2025,53,2,2,9,2754.933165,24/06/2022,4,108,FALSE
TOI-2025,53,3,3,10,2763.805165,03/07/2022,4,108,FALSE
HAT-P-37,40,1,1,1,2392.893124,27/06/2021,4,70,TRUE
HAT-P-37,40,2,2,2,2395.690124,30/06/2021,4,70,TRUE
HAT-P-37,40,3,3,3,2398.487124,02/07/2021,4,70,TRUE
HAT-P-37,40,4,4,4,2401.284124,05/07/2021,4,70,TRUE
HAT-P-37,40,5,5,5,2404.081124,08/07/2021,4,70,TRUE
