sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
14,1140.456027,55.84,11,10,10,69.5
15,1140.455256,54.73,10,7,7,71.0
16,1140.461113,63.17,10,8,8,71.0
17,1140.453513,52.22,10,8,8,71.0
21,1140.453787,52.62,12,11,11,71.0
23,1140.464409,67.91,11,9,9,71.0
41,1140.384676,-46.9,12,12,12,71.0
47,1140.44272,36.68,12,11,11,71.0
48,1140.396411,-30.0,12,10,10,71.5
49,1140.446871,42.66,10,8,8,71.5
50,1140.46468,68.3,11,7,6,71.0
54,1140.420965,5.35,12,11,10,71.5
57,1140.41759,0.49,13,12,11,71.0
74,1140.434568,24.94,12,8,8,71.0
75,1140.428181,15.75,12,8,7,71.0
76,1140.362462,-78.89,12,8,8,71.5
77,1140.389161,-40.44,12,6,6,71.0
81,1140.409601,-11.01,12,10,10,71.5
84,1140.408795,-12.17,12,10,10,71.0
Total,,,218,174,170,71.1
