sector,t0_sec_btjd,t0_offset_min,n_predicted,n_observed,n_usable,median_pts
9,1326.499898,9.65,12,11,10,64.0
11,1326.494065,1.25,12,10,10,64.0
12,1326.476689,-23.77,12,10,10,64.0
13,1326.477766,-22.22,13,12,12,64.0
27,1326.474162,-27.41,11,10,10,64.0
28,1326.522501,42.2,11,9,9,64.0
29,1326.456542,-52.78,12,10,10,64.0
30,1326.494989,2.59,13,12,12,64.0
31,1326.530144,53.21,12,11,11,64.0
32,1326.476674,-23.79,12,12,12,64.0
33,1326.466598,-38.3,13,12,12,64.0
34,1326.515552,32.2,12,11,11,64.0
35,1326.463063,-43.39,12,10,10,64.0
36,1326.508391,21.88,11,10,10,64.5
37,1326.529257,51.93,12,11,10,64.0
38,1326.529155,51.78,12,12,12,64.0
39,1326.456989,-52.13,13,12,12,64.0
61,1326.479822,-19.26,11,9,9,64.0
62,1326.544073,73.27,12,11,10,64.0
63,1326.472215,-30.21,12,11,10,64.0
64,1327.116586,897.68,12,12,12,64.0
65,1326.473855,-27.85,12,10,10,64.0
66,1326.449411,-63.05,12,9,8,64.0
67,1326.52515,46.02,11,9,8,64.0
68,1326.509705,23.78,12,11,10,64.0
69,1326.509658,23.71,11,10,9,64.0
87,1326.455291,-54.58,11,9,8,64.0
88,1326.459751,-48.16,11,9,9,64.0
89,1326.456779,-52.44,13,13,13,64.0
90,1326.505353,17.51,13,12,11,64.0
93,1326.458439,-50.05,11,10,10,64.0
94,1326.529173,51.81,12,11,11,64.0
95,1326.453722,-56.84,11,10,10,64.0
96,1326.513044,28.58,12,10,10,64.0
98,1326.462247,-44.56,28,15,14,64.0
Total,,,432,376,365,64.0
