System,n_sectors,total_usable,t0_btjd,status,S009,S011,S012,S013,S027,S028,S029,S030,S031,S032,S033,S034,S035,S036,S037,S038,S039,S061,S062,S063,S064,S065,S066,S067,S068,S069,S087,S088,S089,S090,S093,S094,S095,S096,S098,S014,S017,S018,S019,S020,S021,S024,S025,S026,S040,S041,S047,S048,S050,S051,S052,S053,S054,S055,S058,S059,S060,S073,S074,S075,S077,S078,S079,S080,S081,S085,S086,S015,S022,S049,S056,S076,S082,S083,S016,S023,S057,S084,S001,S002,S102,S099,S006,S007,S045,S046,S071,S072,S044,S042,S043,S070,S100,S101
TOI-157,35,365,1326.493194,ok,10.0,10.0,10.0,12.0,10.0,9.0,10.0,12.0,11.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,12.0,9.0,10.0,10.0,12.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,13.0,11.0,10.0,11.0,10.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-019,7,203,-597.255625,ok,27.0,,,,,,,,,,,,,26.0,,,,,27.0,33.0,,,,,,,,,34.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
TOI-1259,32,194,1686.694283,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,6.0,7.0,8.0,7.0,6.0,6.0,7.0,7.0,8.0,6.0,5.0,5.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,5.0,5.0,4.0,8.0,5.0,5.0,7.0,6.0,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIP_00065,9,192,1326.103409,ok,,,,,,17.0,20.0,,,,,,,,,,,,,,,,,,19.0,19.0,,,,,,,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,22.0,,,,,,,,,,,,,
KELT-23,19,170,1140.417247,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,8.0,,,,11.0,,,,,12.0,11.0,10.0,6.0,,,,10.0,,,,,,8.0,7.0,6.0,,,,10.0,,,7.0,,8.0,,8.0,,,8.0,9.0,11.0,10.0,,,,,,,,,,,,,,,,
KELT-09,6,94,95.757215,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,17.0,,,,,,,,17.0,,,,,,19.0,,,,,,,,12.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,
XO-7,12,90,917.531964,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,10.0,,8.0,,,,8.0,8.0,,,,7.0,7.0,6.0,5.0,,,,9.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-37,11,87,-1357.908058,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,10.0,,,,,,5.0,7.0,9.0,,8.0,,,8.0,7.0,,,,6.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
TOI-1431,9,82,1739.213738,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,6.0,,,,,,,10.0,,,11.0,9.0,,9.0,8.0,,10.0,9.0,,,,,,,,,,,,,,,,
WASP-064,5,71,-1417.42252,ok,,,,,,,,,,,16.0,15.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,,,,,,,,,,
Kepler-423,7,64,-2033.651691,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,10.0,10.0,,,,,8.0,9.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1518,5,59,2983.833683,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,9.0,,,,,12.0,,,,,,,,,,,13.0,11.0,,,,,,,,,,,,,,,,
TOI-169,6,58,1327.462142,ok,,,,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,9.0,10.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-015,11,53,-2030.657865,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,5.0,6.0,,,,,4.0,4.0,,,,,3.0,,,,,,6.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,
KELT-20,7,48,503.185929,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,8.0,8.0,,,,,,,7.0,,,,,,8.0,7.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-170,5,46,802.358554,ok,,,,,,,,,,,,,9.0,,,,,9.0,9.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
TOI-2152,7,44,1927.789055,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,,4.0,,,,5.0,8.0,,,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kepler-077,7,44,-1904.084872,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,8.0,8.0,,,,,6.0,3.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELT-24,10,42,2173.331971,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,4.0,,,,5.0,5.0,4.0,4.0,,,,,,,,,4.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2154,7,38,2148.618375,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,6.0,5.0,,,,6.0,4.0,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-4153,8,37,2557.111047,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,6.0,4.0,3.0,,,,3.0,6.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAT-P-20,5,36,-1919.099026,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,6.0,6.0,8.0,,,,,
HATS-06,5,36,-356.287583,ok,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,5.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,
KELT-17,5,35,226.199634,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,6.0,7.0,8.0,,,,,
TOI-1420,10,32,2517.405069,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,2.0,3.0,,,,2.0,,,,,4.0,,,4.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,
KELT-18,5,32,542.445664,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
