planet,transit,model,r_squared,regime,mu,nu,N,beta
CoRoT-01,CoRoT-01_T01,exponential,0.78015808,subdiffusive,0.880944967,,0.011294796,27.04540308
CoRoT-01,CoRoT-01_T02,exponential,0.88222516,superdiffusive,1.41156526,,3.35E-05,0.754241557
CoRoT-01,CoRoT-01_T03,exponential,0.850675334,superdiffusive,1.307764855,,0.001647159,8.138699814
CoRoT-01,CoRoT-01_T04,exponential,0.806412376,subdiffusive,0.866846269,,0.011242933,25.84999581
CoRoT-01,CoRoT-01_T05,exponential,0.887890086,superdiffusive,1.320654751,,0.00021698,2.080339348
CoRoT-01,CoRoT-01_T06,exponential,0.755223452,superdiffusive,1.178598512,,0.001135394,5.912441102
CoRoT-01,CoRoT-01_T07,exponential,0.746427589,superdiffusive,1.098081643,,0.002987106,9.505447095
CoRoT-01,CoRoT-01_T08,exponential,0.805478765,superdiffusive,1.275230557,,7.42E-05,0.919708208
CoRoT-01,CoRoT-01_T09,exponential,0.854548222,superdiffusive,1.348604879,,0.000135642,1.586493148
CoRoT-01,CoRoT-01_T10,exponential,0.813712308,superdiffusive,1.283856681,,0.000482625,3.539157674
CoRoT-01,CoRoT-01_T11,exponential,0.829196455,superdiffusive,1.283246677,,0.00035562,2.889549572
CoRoT-01,CoRoT-01_T12,exponential,0.828819085,superdiffusive,1.372729263,,4.24E-05,0.778646061
CoRoT-01,CoRoT-01_T13,exponential,0.790995923,subdiffusive,0.820179514,,0.01378947,28.97985408
CoRoT-01,CoRoT-01_T14,exponential,0.754620855,superdiffusive,1.30778387,,2.57E-05,0.439230938
CoRoT-01,CoRoT-01_T15,exponential,0.818358701,superdiffusive,1.26389449,,0.000445042,3.596382667
HATS-13,HATS-13_T01,exponential,0.647259703,subdiffusive,0.760275001,,0.010530484,23.1270201
HATS-13,HATS-13_T02,exponential,0.791777376,superdiffusive,1.164967147,,0.003491467,12.77258849
HATS-13,HATS-13_T03,exponential,0.869671,superdiffusive,1.450962945,,2.25E-10,0.00018705
HATS-13,HATS-13_T04,exponential,0.873178262,subdiffusive,0.81616455,,0.022827013,38.80895493
HATS-13,HATS-13_T05,exponential,0.825481681,superdiffusive,1.25993251,,0.000657995,3.584005046
HATS-13,HATS-13_T06,exponential,0.776923652,subdiffusive,0.671659495,,0.019933345,30.60014169
HATS-13,HATS-13_T07,exponential,0.741820101,superdiffusive,1.144799897,,0.001927066,6.814672323
