planet,sector,transit,n_pre,n_in,n_post,depth_pct,status
HIP_00065,sector_028,transit_01,24,24,23,0.386,OK
HIP_00065,sector_028,transit_02,23,24,23,0.469,OK
HIP_00065,sector_028,transit_03,23,24,23,0.505,OK
HIP_00065,sector_028,transit_04,24,23,24,0.485,OK
HIP_00065,sector_028,transit_05,24,24,23,0.382,OK
HIP_00065,sector_028,transit_06,23,24,23,0.412,OK
HIP_00065,sector_028,transit_07,23,24,24,0.377,OK
HIP_00065,sector_028,transit_08,24,23,24,0.474,OK
HIP_00065,sector_028,transit_09,23,24,23,0.435,OK
HIP_00065,sector_028,transit_10,24,23,24,0.46,OK
HIP_00065,sector_028,transit_11,24,23,24,0.46,OK
HIP_00065,sector_028,transit_12,24,23,24,0.401,OK
HIP_00065,sector_028,transit_13,23,24,24,0.405,OK
HIP_00065,sector_028,transit_14,24,23,24,0.379,OK
HIP_00065,sector_028,transit_15,24,23,24,0.418,OK
HIP_00065,sector_028,transit_16,24,24,23,0.343,OK
HIP_00065,sector_028,transit_17,24,23,24,0.439,OK
KELT-09,sector_041,transit_01,117,118,117,0.674,OK
KELT-09,sector_041,transit_02,118,117,118,0.698,OK
KELT-09,sector_041,transit_03,117,118,117,0.671,OK
KELT-09,sector_041,transit_04,118,117,118,0.677,OK
KELT-09,sector_041,transit_05,117,117,118,0.694,OK
KELT-09,sector_041,transit_06,118,117,118,0.663,OK
KELT-09,sector_041,transit_07,118,117,118,0.664,OK
KELT-09,sector_041,transit_08,117,118,117,0.687,OK
KELT-09,sector_041,transit_09,118,117,118,0.665,OK
KELT-09,sector_041,transit_10,117,118,117,0.685,OK
KELT-09,sector_041,transit_11,117,117,118,0.689,OK
KELT-09,sector_041,transit_12,117,118,117,0.652,OK
KELT-09,sector_041,transit_13,110,118,117,0.673,OK
KELT-09,sector_041,transit_14,116,118,117,0.684,OK
KELT-09,sector_041,transit_15,117,118,117,0.655,OK
KELT-09,sector_041,transit_16,117,118,117,0.671,OK
KELT-09,sector_041,transit_17,117,118,117,0.691,OK
KELT-17,sector_044,transit_01,104,104,104,0.813,OK
KELT-17,sector_044,transit_02,104,104,104,0.814,OK
KELT-17,sector_044,transit_03,104,104,104,0.832,OK
KELT-17,sector_044,transit_04,105,104,12,0.82,OK
KELT-17,sector_044,transit_05,94,105,104,0.828,OK
KELT-17,sector_044,transit_06,104,104,105,0.833,OK
KELT-17,sector_044,transit_07,97,103,104,0.826,OK
KELT-17,sector_044,transit_08,105,104,104,0.826,OK
KELT-18,sector_048,transit_01,139,140,139,0.748,OK
KELT-18,sector_048,transit_02,139,140,139,0.735,OK
KELT-18,sector_048,transit_03,140,139,139,0.749,OK
KELT-18,sector_048,transit_04,139,139,140,0.702,OK
KELT-18,sector_048,transit_05,139,140,139,0.762,OK
KELT-18,sector_048,transit_06,140,139,139,0.738,OK
KELT-20,sector_040,transit_01,107,107,108,1.35,OK
KELT-20,sector_040,transit_02,107,106,107,1.338,OK
KELT-20,sector_040,transit_03,108,107,107,1.357,OK
KELT-20,sector_040,transit_04,107,107,107,1.342,OK
KELT-20,sector_040,transit_05,107,108,107,1.345,OK
KELT-20,sector_040,transit_06,108,107,107,1.322,OK
KELT-20,sector_040,transit_07,107,107,108,1.359,OK
KELT-20,sector_040,transit_08,107,108,107,1.337,OK
KELT-21,sector_041,transit_01,117,123,123,0.966,OK
KELT-21,sector_041,transit_02,123,123,123,1.022,OK
KELT-21,sector_041,transit_03,124,123,123,0.952,OK
KELT-21,sector_041,transit_04,123,123,123,0.985,OK
KELT-21,sector_041,transit_05,123,123,123,0.971,OK
KELT-21,sector_041,transit_06,123,123,123,0.985,OK
KELT-21,sector_041,transit_07,123,123,123,1.001,OK
KELT-21,sector_041,transit_08,123,123,123,0.995,OK
KELT-23,sector_014,transit_01,72,65,70,1.746,OK
KELT-23,sector_014,transit_02,72,71,72,1.703,OK
KELT-23,sector_014,transit_03,62,69,70,1.752,OK
KELT-23,sector_014,transit_04,71,72,71,1.794,OK
KELT-23,sector_014,transit_05,69,70,69,1.724,OK
KELT-23,sector_014,transit_06,37,67,71,1.744,OK
KELT-23,sector_014,transit_07,72,69,72,1.767,OK
KELT-23,sector_014,transit_08,70,69,71,1.783,OK
KELT-23,sector_014,transit_09,71,72,71,1.716,OK
KELT-23,sector_014,transit_10,69,72,69,1.76,OK
KELT-24,sector_047,transit_01,129,129,129,0.791,OK
KELT-24,sector_047,transit_02,129,129,129,0.803,OK
KELT-24,sector_047,transit_03,129,130,129,0.814,OK
KELT-24,sector_047,transit_04,129,129,129,0.811,OK
Qatar-1,sector_024,transit_01,60,60,60,1.799,OK
Qatar-1,sector_024,transit_02,60,60,60,1.971,OK
Qatar-1,sector_024,transit_03,60,60,60,1.788,OK
Qatar-1,sector_024,transit_04,60,60,60,1.622,OK
Qatar-1,sector_024,transit_05,60,59,58,1.553,OK
Qatar-1,sector_024,transit_06,60,56,59,1.743,OK
Qatar-1,sector_024,transit_07,60,57,59,1.856,OK
Qatar-1,sector_024,transit_08,58,58,60,1.84,OK
Qatar-1,sector_024,transit_09,57,57,59,1.658,OK
TOI-1259,sector_058,transit_01,75,74,74,2.436,OK
TOI-1259,sector_058,transit_02,74,74,75,2.438,OK
TOI-1259,sector_058,transit_03,75,74,74,2.381,OK
TOI-1259,sector_058,transit_04,74,74,74,2.417,OK
TOI-1259,sector_058,transit_05,74,75,74,2.375,OK
TOI-1259,sector_058,transit_06,75,74,74,2.376,OK
TOI-1259,sector_058,transit_07,74,74,75,2.369,OK
TOI-1420,sector_084,transit_01,101,101,101,1.387,OK
