System,host_star,R_b,Period,Teff,depth_pct,T14_hr,n_sectors,type,sector
WASP-177,WASP-177,1.58,3.072,5017,3.216,2.89,4,Hot Jupiter,42
WTS-2,WTS-2,1.363,1.019,5000,3.315,1.75,8,Hot Jupiter,81
Kepler-447,Kepler-447,1.65,7.794,5943,2.589,4.31,10,Hot Jupiter,81
KELT-23,KELT-23,1.322,2.255,5900,1.781,2.75,19,Hot Jupiter,81
TrES-3,TrES-3,1.31,1.306,5650,2.553,1.96,7,Hot Jupiter,25
TOI-2374,TOI-2374,0.668,4.314,5002,0.891,2.48,2,Hot Saturn,28
CoRoT-08,CoRoT-08,0.619,6.212,5080,0.601,3.0,2,Hot Saturn,81
CoRoT-32,CoRoT-32,0.57,6.718,5970,0.525,2.85,3,Hot Saturn,6
HATS-07,HATS-07,0.563,3.185,4985,0.482,2.46,4,Hot Saturn,11
WASP-156,WASP-156,0.51,3.836,4910,0.454,2.44,6,Hot Saturn,4
